,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
0,2016,USA,Florida,Surfing,M,16,N
1,2016,USA,Florida,Surfing,M,36,N
2,2016,USA,Florida,Surfing,M,43,N
3,2016,AUSTRALIA,Victoria,Surfing,M,,N
5,2016,AUSTRALIA,Western Australia,Fishing,,,N
6,2016,USA,Florida,Wading,M,60s,N
7,2016,USA,Hawaii,Swimming,F,51,N
8,2016,NEW CALEDONIA,North Province,Kite surfing,M,50,Y
9,2016,USA,South Carolina,Boogie boarding,F,12,N
10,2016,AUSTRALIA,Western Australia,Surfing,M,,N
11,2016,USA,Florida,Body boarding,M,9,N
12,2016,USA,California,Spearfishing,M,22,N
13,2016,USA,Florida,Surfing,M,25,N
14,2016,USA,Florida,Surfing,M,37,N
15,2016,REUNION,,Surfing,M,20,N
16,2016,USA,Florida,Wading,M,49,N
17,2016,BAHAMAS,New Providence Island,Snorkeling,M,15,N
18,2016,USA,Hawaii,SUP Foil boarding,M,21,N
19,2016,USA,Florida,Surfing,M,22,N
20,2016,SPAIN,Alicante Province,Swimming,M,40,N
21,2016,CHINA,Hong Kong,Swimming,M,72,N
22,2016,AUSTRALIA,Western Australia,Kayaking,M,,N
23,2016,USA,Florida,Lobstering,M,43,N
24,2016,AUSTRALIA,New South Wales,Surfing,M,18,N
25,2016,JAPAN,Kochi Prefecture,Surfing,M,29,N
26,2016,AUSTRALIA,Tasmania,Surfing,M,36,N
27,2016,BAHAMAS,Abaco Islands,Spearfishing,M,,N
28,2016,AUSTRALIA,Queensland,Fishing,M,31,N
29,2016,USA,Alabama,Fishing in Alabama Deep Fishing Rodeo,,,N
30,2016,USA,Florida,Surfing,F,9,N
31,2016,USA,Florida,,F,11,N
32,2016,USA,South Carolina,Swimming,M,,N
33,2016,BAHAMAS,,Scuba Diving,M,,N
34,2016,SPAIN,Canary Islands,Wading,F,10,N
35,2016,USA,California,Fishing for squid,M,,N
36,2016,USA,Massachusetts,Fishing,M,59,N
37,2016,USA,California,Fishing for sharks,M,,N
38,2016,USA,Florida,Swimming,F,42,N
39,2016,AUSTRALIA,Queensland,Fishing,M,34,N
40,2016,USA,South Carolina,,M,35,N
41,2016,USA,North Carolina,Surfing,M,11,N
