,Year,count
0,1543,1
1,1580,1
2,1642,2
3,1700,3
4,1703,1
5,1721,1
6,1738,1
7,1742,1
8,1748,1
9,1749,1
10,1758,1
11,1764,1
12,1767,1
13,1771,1
14,1776,2
15,1779,1
16,1785,1
17,1787,1
18,1788,1
19,1791,1
20,1800,1
21,1803,1
22,1804,1
23,1805,1
24,1807,1
25,1811,1
26,1812,1
27,1816,1
28,1817,4
29,1819,1
30,1822,1
31,1825,2
32,1826,3
33,1827,3
34,1828,2
35,1829,2
36,1830,3
37,1831,1
38,1832,2
39,1834,1
40,1835,2
41,1837,2
42,1839,4
43,1840,4
44,1841,1
45,1842,3
46,1844,4
47,1845,4
48,1846,1
49,1847,6
50,1848,3
51,1849,6
52,1850,1
53,1851,3
54,1852,9
55,1853,7
56,1854,1
57,1855,7
58,1856,3
59,1858,3
60,1860,6
61,1861,5
62,1862,10
63,1863,7
64,1864,8
65,1865,4
66,1866,1
67,1867,4
68,1868,6
69,1869,2
70,1870,7
71,1871,8
72,1872,6
73,1873,4
74,1874,10
75,1875,5
76,1876,8
77,1877,14
78,1878,12
79,1879,8
80,1880,15
81,1881,9
82,1882,9
83,1883,9
84,1884,6
85,1885,8
86,1886,15
87,1887,12
88,1888,15
89,1889,8
90,1890,13
91,1891,8
92,1892,10
93,1893,12
94,1894,12
95,1895,20
96,1896,11
97,1897,10
98,1898,17
99,1899,19
100,1900,12
101,1901,7
102,1902,15
103,1903,10
104,1904,13
105,1905,16
106,1906,20
107,1907,22
108,1908,13
109,1909,18
110,1910,13
111,1911,16
112,1912,12
113,1913,14
114,1914,16
115,1915,11
116,1916,25
117,1917,11
118,1918,5
119,1919,13
120,1920,15
121,1921,10
122,1922,20
123,1923,20
124,1924,18
125,1925,12
126,1926,20
127,1927,19
128,1928,23
129,1929,34
130,1930,26
131,1931,27
132,1932,22
133,1933,22
134,1934,26
135,1935,31
136,1936,30
137,1937,30
138,1938,24
139,1939,21
140,1940,22
141,1941,26
142,1942,40
143,1943,26
144,1944,31
145,1945,16
146,1946,25
147,1947,30
148,1948,29
149,1949,28
150,1950,43
151,1951,31
152,1952,29
153,1953,35
154,1954,38
155,1955,41
156,1956,46
157,1957,39
158,1958,52
159,1959,91
160,1960,91
161,1961,77
162,1962,80
163,1963,59
164,1964,64
165,1965,49
166,1966,55
167,1967,46
168,1968,44
169,1969,26
170,1970,39
171,1971,27
172,1972,33
173,1973,26
174,1974,37
175,1975,47
176,1976,38
177,1977,25
178,1978,24
179,1979,25
180,1980,35
181,1981,42
182,1982,37
183,1983,45
184,1984,39
185,1985,37
186,1986,38
187,1987,35
188,1988,55
189,1989,50
190,1990,37
191,1991,36
192,1992,53
193,1993,55
194,1994,51
195,1995,68
196,1996,57
197,1997,52
198,1998,64
199,1999,64
200,2000,92
201,2001,85
202,2002,86
203,2003,81
204,2004,89
205,2005,101
206,2006,102
207,2007,107
208,2008,118
209,2009,111
210,2010,97
211,2011,126
212,2012,112
213,2013,119
214,2014,122
215,2015,131
216,2016,100
