Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2016.09.18.c,2016,Unprovoked,USA,N,3.5
2016.09.18.b,2016,Unprovoked,USA,N,3.0
2016.09.18.a,2016,Unprovoked,USA,N,3.5
2016.09.17,2016,Unprovoked,AUSTRALIA,N,5.0
2016.09.15,2016,Unprovoked,AUSTRALIA,N,5.0
2016.09.15.R,2016,Boat,AUSTRALIA,N,6.5
2016.09.11,2016,Unprovoked,USA,N,3.0
2016.09.07,2016,Unprovoked,USA,N,3.0
2016.09.06,2016,Unprovoked,NEW CALEDONIA,Y,3.0
2016.09.05.b,2016,Unprovoked,USA,N,3.3003003003003
2016.09.05.a,2016,Unprovoked,AUSTRALIA,N,4.3003003003003
2016.09.04,2016,Unprovoked,USA,N,4.0
2016.09.01,2016,Unprovoked,USA,N,3.5
2016.08.29.b,2016,Unprovoked,USA,N,2.5
2016.08.29.a,2016,Unprovoked,USA,N,3.5
2016.08.27,2016,Unprovoked,REUNION,N,3.5
2016.08.25,2016,Unprovoked,USA,N,3.0
2016.08.07,2016,Unprovoked,BAHAMAS,N,4.0
2016.08.06,2016,Unprovoked,USA,N,3.5
2016.08.04,2016,Unprovoked,USA,N,3.5
2016.07.29,2016,Unprovoked,SPAIN,N,3.0
2016.07.28.R,2016,Unprovoked,CHINA,N,5.0
2016.07.28,2016,Boat,AUSTRALIA,N,4.5
2016.07.27,2016,Provoked,USA,N,3.5
2016.07.26,2016,Unprovoked,AUSTRALIA,N,2.75
2016.07.24,2016,Unprovoked,JAPAN,N,3.5
2016.07.23.b,2016,Unprovoked,AUSTRALIA,N,4.0
2016.07.23.a,2016,Unprovoked,BAHAMAS,N,4.5
2016.07.20,2016,Provoked,AUSTRALIA,N,3.0503003003003
2016.07.17,2016,Boat,USA,N,6.0
2016.07.16.b,2016,Unprovoked,USA,N,3.5
2016.07.16.a,2016,Unprovoked,USA,N,3.5
2016.07.15,2016,Unprovoked,USA,N,5.5
2016.07.14.4,2016,Unprovoked,BAHAMAS,N,5.25
2016.07.08.R,2016,Unprovoked,SPAIN,N,3.75
2016.07.08,2016,Boat,USA,N,4.25
2016.07.07.b,2016,Provoked,USA,N,2.25
2016.07.07.a,2016,Boat,USA,N,4.75
2016.07.06,2016,Unprovoked,USA,N,3.5
2016.07.04,2016,Provoked,AUSTRALIA,N,2.25
2016.06.27,2016,Unprovoked,USA,N,3.0
2016.06.25,2016,Unprovoked,USA,N,3.5
2016.06.24,2016,Unprovoked,COLUMBIA,N,3.5
2016.06.23,2016,Unprovoked,SOUTH AFRICA,N,4.0
2016.06.21.b,2016,Unprovoked,USA,N,2.5
2016.06.21.a,2016,Unprovoked,USA,N,4.5
2016.06.15.b,2016,Unprovoked,USA,N,4.0
2016.06.15.a,2016,Provoked,AUSTRALIA,N,3.25
2016.06.14,2016,Unprovoked,USA,N,2.5
2016.06.11,2016,Unprovoked,USA,N,2.5
2016.06.07,2016,0,USA,N,3.0
2016.06.05.b,2016,Unprovoked,USA,N,3.5
2016.06.05.a,2016,Unprovoked,AUSTRALIA,Y,2.5
2016.06.04,2016,Unprovoked,EGYPT,N,2.8003003003003
2016.06.02.b,2016,Unprovoked,AUSTRALIA,0,5.25
2016.06.02.a,2016,Unprovoked,NEW CALEDONIA,N,5.3003003003003
2016.05.31,2016,Unprovoked,AUSTRALIA,Y,2.5
2016.05.29.b,2016,Unprovoked,USA,N,3.0
2016.05.29.a,2016,Unprovoked,USA,N,3.0
2016.05.22,2016,Unprovoked,USA,N,3.0
2016.05.21.b,2016,Unprovoked,USA,N,2.25
2016.05.21.a,2016,Unprovoked,USA,N,3.5
2016.05.18,2016,Unprovoked,USA,N,2.8003003003003
2016.05.15,2016,Provoked,USA,N,3.0
2016.05.03,2016,Unprovoked,USA,N,3.5
2016.05.02,2016,Provoked,NEW ZEALAND,N,3.3003003003003
2016.04.25,2016,Unprovoked,INDONESIA,N,2.5
2016.04.23,2016,Unprovoked,USA,N,3.0
2016.04.22,2016,Unprovoked,SOUTH AFRICA,N,3.5
2016.04.19,2016,Unprovoked,AUSTRALIA,N,2.5
2016.04.18,2016,Provoked,FRENCH POLYNESIA,N,3.25
2016.04.13,2016,Unprovoked,USA,N,3.5
2016.04.09,2016,Unprovoked,NEW CALEDONIA,Y,2.5
2016.04.08,2016,0,CAPE VERDE,N,5.0
2016.04.07.b,2016,Unprovoked,USA,N,4.5
2016.04.07.a,2016,0,USA,N,4.75
2016.03.31,2016,Unprovoked,USA,N,3.5
2016.03.30,2016,Unprovoked,AUSTRALIA,N,3.0
2016.03.28.b,2016,Unprovoked,USA,N,3.25
2016.03.28.a,2016,Unprovoked,AUSTRALIA,N,3.0
2016.03.26,2016,Provoked,BAHAMAS,N,5.5
2016.03.13,2016,0,USA,N,5.3003003003003
2016.03.11,2016,Unprovoked,USA,N,3.0
2016.03.10,2016,Unprovoked,Fiji,Y,4.3003003003003
2016.03.04,2016,Unprovoked,USA,N,3.8003003003003
2016.03.03.R,2016,Unprovoked,AUSTRALIA,N,3.8003003003003
2016.03.02,2016,Unprovoked,BRAZIL,N,3.5
2016.02.22,2016,Unprovoked,NEW CALEDONIA,N,3.5
2016.02.19,2016,Unprovoked,NEW CALEDONIA,N,3.5
2016.02.12,2016,Unprovoked,DOMINICAN REPUBLIC,N,4.0
2016.02.10.R,2016,0,CAYMAN ISLANDS,N,3.5
2016.02.10,2016,0,AUSTRALIA,N,4.0
2016.02.05,2016,Unprovoked,AUSTRALIA,N,3.5
2016.02.04,2016,Unprovoked,AUSTRALIA,N,3.3003003003003
2016.01.29,2016,Boat,SOUTH AFRICA,N,6.0
2016.01.28,2016,Unprovoked,USA,N,4.0
2016.01.25,2016,Unprovoked,USA,N,3.0
2016.01.24.b,2016,Unprovoked,USA,N,3.25
2016.01.24.a,2016,Boat,UNITED ARAB EMIRATES,N,5.0
2016.01.23,2016,Unprovoked,USA,N,2.8003003003003
2016.01.11.R,2016,Unprovoked,AUSTRALIA,N,4.5
2016.01.05,2016,Unprovoked,AUSTRALIA,N,2.8003003003003
2016.01.02,2016,Unprovoked,AUSTRALIA,N,2.5
2015.12.26,2015,Boat,SOUTH AFRICA,N,4.3003003003003
2015.12.25,2015,Unprovoked,SPAIN,N,3.5
2015.12.22,2015,Unprovoked,USA,N,2.8003003003003
2015.12.21.b,2015,Unprovoked,AUSTRALIA,N,2.5
2015.12.21.a,2015,Unprovoked,BRAZIL,N,4.0
2015.12.19,2015,Unprovoked,ARUBA,Y,5.0
2015.12.13,2015,Boat,AUSTRALIA,N,5.0
2015.12.11,2015,Unprovoked,BAHAMAS,N,4.5
2015.12.08,2015,Unprovoked,SOUTH AFRICA,N,3.3003003003003
2015.11.16,2015,Unprovoked,USA,N,4.3003003003003
2015.11.15.b,2015,Unprovoked,USA,N,4.8003003003003
2015.11.15.a,2015,Unprovoked,USA,N,3.5
2015.11.10,2015,Unprovoked,AUSTRALIA,N,2.5
2015.12.23,2015,0,USA,N,2.5
2015.11.03,2015,Unprovoked,USA,N,3.5
2015.11.01.b,2015,Unprovoked,USA,N,2.5
2015.11.01.a,2015,Unprovoked,MOZAMBIQUE,N,3.0
2015.10.30,2015,Unprovoked,AUSTRALIA,N,4.0
2015.10.28.a,2015,Unprovoked,USA,N,2.75
2015.10.25,2015,Unprovoked,SOUTH AFRICA,N,2.5
2015.10.21,2015,Unprovoked,USA,N,2.5
2015.10.19,2015,Unprovoked,USA,N,2.5
2015.10.17.c,2015,Unprovoked,MOZAMBIQUE,Y,4.0
2015.10.17.b,2015,0,USA,N,3.0
2015.10.17.a,2015,Unprovoked,USA,N,2.5
2015.10.13,2015,Boat,USA,N,3.5
2015.10.09.b,2015,Unprovoked,USA,N,3.0
2015.10.09.a,2015,Unprovoked,USA,N,2.25
2015.10.08,2015,Unprovoked,MOZAMBIQUE,N,5.0
2015.10.07,2015,Unprovoked,AUSTRALIA,N,3.0
2015.10.05.b,2015,Unprovoked,USA,N,3.5
2015.10.05.a,2015,Unprovoked,USA,N,2.5
2015.10.04,2015,Unprovoked,USA,N,2.5
2015.09.29,2015,Unprovoked,USA,N,2.25
2015.09.26,2015,Unprovoked,AUSTRALIA,N,3.8003003003003
2015.09.24,2015,Unprovoked,USA,N,3.5
2015.09.20.d,2015,Unprovoked,USA,N,3.0
2015.09.20.c,2015,Unprovoked,USA,N,2.5
2015.09.20.b,2015,Unprovoked,USA,N,2.5
2015.09.20.a,2015,Unprovoked,USA,N,3.0
2015.09.18,2015,Unprovoked,USA,N,4.0
2015.09.17,2015,Unprovoked,USA,N,3.0
2015.09.08,2015,Unprovoked,AUSTRALIA,N,2.5
2015.09.06,2015,Unprovoked,USA,N,2.25
2015.09.05,2015,Provoked,USA,N,2.25
2015.09.04,2015,Unprovoked,AUSTRALIA,N,2.5
2015.09.03,2015,Unprovoked,USA,N,3.5
2015.09.01,2015,Unprovoked,THAILAND,N,2.5
2015.09.00,2015,Unprovoked,FIJI,N,6.5
2015.08.29.b,2015,Unprovoked,USA,N,2.5
2015.08.29.a,2015,Unprovoked,USA,N,2.25
2015.08.22.b,2015,0,USA,N,4.0
