,Year,Fatal_Y_N,count
0,1543,Y,1
1,1580,Y,1
2,1642,Y,2
3,1700,N,1
4,1700,Y,2
5,1703,N,1
6,1721,Y,1
7,1738,Y,1
8,1742,Y,1
9,1748,Y,1
10,1749,N,1
11,1758,N,1
12,1764,Y,1
13,1767,N,1
14,1771,Y,1
15,1776,Y,2
16,1779,Y,1
17,1785,Y,1
18,1787,Y,1
19,1788,N,1
20,1791,Y,1
21,1800,Y,1
22,1803,N,1
23,1804,N,1
24,1805,Y,1
25,1807,N,1
26,1811,Y,1
27,1812,N,1
28,1816,Y,1
29,1817,N,1
30,1817,Y,3
31,1819,N,1
32,1822,Y,1
33,1825,N,1
34,1825,Y,1
35,1826,N,1
36,1826,Y,2
37,1827,N,1
38,1827,Y,2
39,1828,N,1
40,1828,Y,1
41,1829,N,1
42,1829,Y,1
43,1830,Y,3
44,1831,Y,1
45,1832,N,2
46,1834,Y,1
47,1835,N,1
48,1835,Y,1
49,1837,N,1
50,1837,Y,1
51,1839,N,1
52,1839,Y,3
53,1840,N,2
54,1840,Y,2
55,1841,Y,1
56,1842,N,2
57,1842,Y,1
58,1844,Y,4
59,1845,N,1
60,1845,Y,3
61,1846,Y,1
62,1847,N,4
63,1847,Y,2
64,1848,N,2
65,1848,Y,1
66,1849,Y,6
67,1850,Y,1
68,1851,N,1
69,1851,Y,2
70,1852,N,1
71,1852,Y,8
72,1853,N,3
73,1853,Y,4
74,1854,N,1
75,1855,N,2
76,1855,Y,5
77,1856,Y,3
78,1858,Y,3
79,1860,N,3
80,1860,Y,3
81,1861,N,3
82,1861,Y,2
83,1862,N,5
84,1862,Y,5
85,1863,N,2
86,1863,Y,5
87,1864,N,4
88,1864,Y,4
89,1865,N,2
90,1865,Y,2
91,1866,Y,1
92,1867,Y,4
93,1868,N,2
94,1868,Y,4
95,1869,N,1
96,1869,Y,1
97,1870,N,7
98,1871,N,6
99,1871,Y,2
100,1872,N,3
101,1872,Y,3
102,1873,N,3
103,1873,Y,1
104,1874,N,8
105,1874,Y,2
106,1875,N,2
107,1875,Y,3
108,1876,N,3
109,1876,Y,5
110,1877,N,9
111,1877,Y,5
112,1878,N,4
113,1878,Y,8
114,1879,N,4
115,1879,Y,4
116,1880,N,7
117,1880,Y,8
118,1881,N,4
119,1881,Y,5
120,1882,N,6
121,1882,Y,3
122,1883,N,2
123,1883,Y,7
124,1884,N,2
125,1884,Y,4
126,1885,N,5
127,1885,Y,3
128,1886,N,9
129,1886,Y,6
130,1887,N,4
131,1887,Y,8
132,1888,N,6
133,1888,Y,9
134,1889,N,2
135,1889,Y,6
136,1890,N,7
137,1890,Y,6
138,1891,N,3
139,1891,Y,5
140,1892,N,5
141,1892,Y,5
142,1893,N,3
143,1893,Y,9
144,1894,N,7
145,1894,Y,5
146,1895,N,8
147,1895,Y,12
148,1896,N,4
149,1896,Y,7
150,1897,N,5
151,1897,Y,5
152,1898,N,6
153,1898,Y,11
154,1899,N,9
155,1899,Y,10
156,1900,N,7
157,1900,Y,5
158,1901,N,4
159,1901,Y,3
160,1902,N,8
161,1902,Y,7
162,1903,N,2
163,1903,Y,8
164,1904,N,4
165,1904,Y,9
166,1905,N,6
167,1905,Y,10
168,1906,N,7
169,1906,Y,13
170,1907,N,10
171,1907,Y,12
172,1908,N,1
173,1908,Y,12
174,1909,N,7
175,1909,Y,11
176,1910,N,7
177,1910,Y,6
178,1911,N,7
179,1911,Y,9
180,1912,N,6
181,1912,Y,6
182,1913,N,9
183,1913,Y,5
184,1914,N,10
185,1914,Y,6
186,1915,N,6
187,1915,Y,5
188,1916,N,13
189,1916,Y,12
190,1917,N,6
191,1917,Y,5
192,1918,N,2
193,1918,Y,3
194,1919,N,8
195,1919,Y,5
196,1920,N,10
197,1920,Y,5
198,1921,N,5
199,1921,Y,5
200,1922,N,7
201,1922,Y,13
202,1923,N,11
203,1923,Y,9
204,1924,N,13
205,1924,Y,5
206,1925,N,9
207,1925,Y,3
208,1926,N,11
209,1926,Y,9
210,1927,N,12
211,1927,Y,7
212,1928,N,15
213,1928,Y,8
214,1929,N,20
215,1929,Y,14
216,1930,N,16
217,1930,Y,10
218,1931,N,16
219,1931,Y,11
220,1932,N,14
221,1932,Y,8
222,1933,N,17
223,1933,Y,5
224,1934,N,15
225,1934,Y,11
226,1935,N,20
227,1935,Y,11
228,1936,N,22
229,1936,Y,8
230,1937,N,17
231,1937,Y,13
232,1938,N,17
233,1938,Y,7
234,1939,N,13
235,1939,Y,8
