,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
0,2016.09.18.c,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf,5993
1,2016.09.18.b,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf,5992
2,2016.09.18.a,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,10h43,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf,5991
3,2016.09.17,17-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf,5990
4,2016.09.15,16-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf,5989
5,2016.09.15.R,15-Sep-16,2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf,5988
6,2016.09.11,11-Sep-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,N,15h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf,5987
7,2016.09.07,07-Sep-16,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf,5986
8,2016.09.06,06-Sep-16,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,Y,15h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf,5985
9,2016.09.05.b,05-Sep-16,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,N,Late afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf,5984
10,2016.09.05.a,05-Sep-16,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,N,Late afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf,5983
11,2016.09.04,04-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf,5982
