,Year,Species,Injury,Injury_Class,Fatal (Y/N)
0,2018,White,"No injury to occupant, outrigger canoe and paddle damaged",0,N
1,2018,Other,Minor injury to lower leg,1,N
2,2018,Tiger,Lacerations to leg & hand shark PROVOKED INCIDENT,2,N
3,2018,Tiger,FATAL,4,Y
4,2018,Lemon,Minor injury to foot. PROVOKED INCIDENT,1,N
5,2018,Bull,Lower left leg bitten,3,N
6,2018,Grey,Minor bite to hand by captive shark. PROVOKED INCIDENT,1,N
7,2018,Other,Injured by teeth of a dead porbeagle shark he was tossing overboard.,3,N
8,2018,Nurse,Shallow lacerations to finger PROVOKED INCIDENT,2,N
9,2018,Other,"No injury, surfboard damaged",0,N
10,2018,Tiger,"No injury, shark bit scuba gear",0,N
11,2018,Other,No injury,0,N
12,2018,Other,"No injury, knocked off board by shark",0,N
13,2018,White,"No injury, shark struck his leg",0,N
14,2018,Tiger,5-inch cut to hand,2,N
15,2018,White,"No injury, shark bit hole in ski",0,N
16,2018,Other,Lacerations to right lower leg,2,N
17,2018,Bull,Lacerations to foot and ankle,2,N
18,2018,Tiger,No Injury. Shark swam away with the surf board,0,N
19,2018,Other,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,3,N
20,2018,Other,"No injury, shark bit board",0,N
21,2018,Bull,"2 puncture wounds to left foot, abrasion to right foot",3,N
22,2018,White,Lacerations to left knee & lower leg,2,N
23,2018,Tiger,Injuries to right leg & hand,3,N
24,2018,Wobbegong,Minor injuries to legs,1,N
25,2018,Other,"No injury, said to have been charged by sharks several times",0,N
26,2018,Other,"Minor injury, ankle grazed",1,N
27,2018,Blacktip, The shark & man simply collided; neither were injured,3,N
28,2018,White,Laceratons to right leg & foot,2,N
29,2018,Bull,Puncture wounds to leff foot & lower leg,3,N
30,2018,Wobbegong,"Collision / No injury, no attack",3,N
31,2018,Other,Lacerations to 4 toes of right foot,3,N
32,2018,Galapagos,Injuries to right foot,3,N
33,2018,Other,"No injury no attack. This is considerd an ""encounter""",2,N
34,2018,Bull,Injuries to right leg,3,N
35,2018,Bull,Injuries to abdomen and arm,3,N
36,2018,Grey,Severe laceration to left forearm,3,N
37,2018,White,"No injury, shark took his swimfin",0,N
38,2018,Other,Minor injury to left forearm,1,N
39,2018,Wobbegong,Foot bitten,2,N
40,2017,Tiger,Severe lacerations to left thigh & knee,3,N
41,2017,Nurse,"Minor injury to thigh, PROVOKED INCIDENT",1,N
42,2017,Nurse,Minor injury to arm,1,N
43,2017,Tiger,Serious injury to leg,3,N
44,2017,Tiger,FATAL,4,Y
45,2017,Blue,FATAL,4,Y
46,2017,White,Right leg bitten,3,N
47,2017,Other,Puncture wounds to left shoulder,3,N
48,2017,Tiger,FATAL,4,Y
49,2017,Other,Calf injured,2,N
50,2017,Wobbegong,Minor injury to foot,1,N
51,2017,White,Minor injuries,1,N
52,2017,Other,"No injury, shark shook kayak x3 ",0,N
53,2017,Spinner,Puncture wounds & lacerations to foot,3,N
54,2017,Tiger,Lacerations to left hand,2,N
55,2017,Other,Abrasions,3,N
56,2017,Other,FATAL,4,Y
57,2017,Other,Lacerations to lower left leg and foot,2,N
58,2017,White,"No injury, board damaged by shark",0,N
59,2017,Other,"Lacerations to right ankle, foot & toe",2,N
60,2017,Other,Laceration to upper arm,2,N
61,2017,Other,Lacerations to right foot,2,N
62,2017,White,"sharks rammed boats, no injury to occupants",3,N
63,2017,Other,Lacerations to left foot,2,N
64,2017,White,Minor lacerations to right hip,1,N
65,2017,Nurse,Lacerations to abdomen,2,N
66,2017,White,"No injury, board bitten",0,N
67,2017,Other,Lacerations to left foot,2,N
68,2017,White,Not injured by shark but board bitten,0,N
69,2017,Other,Hand injured,2,N
70,2017,Blacktip,Minor cuts to sole & toes of left foot,3,N
71,2017,White,Bite to right leg/hip,3,N
72,2017,Other,Foot bitten by landed shark PROVOKED INCIDENT,3,N
73,2017,White,"No injury, bow of kayak bitten",0,N
74,2017,Other,Abrasions and cuts to sole of foot,3,N
