Year,Type,Country,Area,Location,Activity,Sex,Fatal
2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,N
2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,N
2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,Unknown,N
2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Bathing,M,N
2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,N
2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Surfing,M,Y
2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boarding,F,N
2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,M,N
2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,N
2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Fishing,M,N
2016,Unprovoked,REUNION,Unknown,Boucan Canot,Surfing,M,N
2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,N
2016,Unprovoked,USA,Hawaii,Maui,Boarding,M,N
2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,N
2016,Unprovoked,CHINA,Hong Kong,Unknown,Swimming,M,N
2016,Boat,AUSTRALIA,Western Australia,Near Albany,Canoeing,M,N
2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Other,M,N
2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,N
2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,N
2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,N
2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Fishing,M,N
2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,N
2016,Boat,USA,Alabama,8 miles off Mobile,Fishing,Unknown,N
2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,N
2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,F,N
2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,N
2016,Unprovoked,BAHAMAS,Unknown,Tiger Beach,Diving,M,N
2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Bathing,F,N
2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing,M,N
2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,N
2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing,M,N
2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,N
2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,N
2016,Unprovoked,USA,South Carolina,Sullivan's Island,Unknown,M,N
2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,N
2016,Unprovoked,COLUMBIA,Isla Provedencia,Unknown,Diving,M,N
2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Fishing,M,N
2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Bathing,M,N
2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,M,N
2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Fishing,M,N
2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Swimming,F,N
2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Bathing,M,N
2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,N
2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,M,N
2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,F,Y
2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,M,N
2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Fishing,M,Unknown
2016,Unprovoked,NEW CALEDONIA,Unknown," Côte-Blanche, Nouméa ",Surfing,M,N
2016,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",Surfing,M,Y
2016,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,N
2016,Unprovoked,USA,Florida,"Neptune, Duval County",Swimming,M,N
2016,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,N
