,Year,Country,Area,Injury,Fatal
0,2016,USA,Florida,Minor injury to thigh,N
1,2016,USA,Florida,Lacerations to hands,N
2,2016,USA,Florida,Lacerations to lower leg,N
3,2016,AUSTRALIA,Victoria,Struck by fin on chest & leg,N
4,2016,AUSTRALIA,Victoria,No injury: Knocked off board by shark,N
5,2016,AUSTRALIA,Western Australia,Shark rammed boat. No injury to occupant,N
6,2016,USA,Florida,Minor injury to arm,N
7,2016,USA,Hawaii,Severe lacerations to shoulder & forearm,N
9,2016,USA,South Carolina,Lacerations & punctures to lower right leg,N
10,2016,AUSTRALIA,Western Australia,"No inury, board broken in half by shark",N
11,2016,USA,Florida,Foot bitten,N
12,2016,USA,California,Two toes broken & lacerated,N
13,2016,USA,Florida,Lacerations to right foot,N
14,2016,USA,Florida,Minor injury to ankle,N
16,2016,USA,Florida,Minor injury to ankle,N
18,2016,USA,Hawaii,"No inury, shark & board collided",N
19,2016,USA,Florida,Big toe bitten,N
22,2016,AUSTRALIA,Western Australia,"No injury, shark nudged kayak repeatedly",N
23,2016,USA,Florida,Laceration to left forearm PROVOKED INCIDENT,N
24,2016,AUSTRALIA,New South Wales,"No injury. Leg rope severed, knocked off board by shark",N
26,2016,AUSTRALIA,Tasmania,Calf bumped but no injury,N
28,2016,AUSTRALIA,Queensland,Laceration to left calf from hooked shark PROVOKED INCIDENT,N
29,2016,USA,Alabama,"No injury, shark bit trolling motor",N
30,2016,USA,Florida,Minor injury to leg,N
31,2016,USA,Florida,Minor injury to toes,N
32,2016,USA,South Carolina,Puncture wounds to foot,N
35,2016,USA,California,"No injury. Hull bitten, tooth fragment recovered",N
36,2016,USA,Massachusetts,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N
37,2016,USA,California,"No injury. Hull bitten, tooth fragment recovered",N
38,2016,USA,Florida,"Buttocks, thigh, left hand & wrist injured",N
39,2016,AUSTRALIA,Queensland,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N
40,2016,USA,South Carolina,Minor injury,N
41,2016,USA,North Carolina,Foot injured,N
43,2016,SOUTH AFRICA,Western Cape Province,Injuries to left leg & right hand,N
44,2016,USA,South Carolina,Lacerations and punctures to foot,N
45,2016,USA,Florida,Injuries to right calf,N
46,2016,USA,Hawaii,Single puncture wound to arm,N
47,2016,AUSTRALIA,Western Australia,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N
48,2016,USA,Texas,Injury to lower leg,N
49,2016,USA,North Carolina,Laceration to wrist,N
50,2016,USA,South Carolina,"No injury, board damaged",N
51,2016,USA,Florida,Leg bitten,N
52,2016,AUSTRALIA,Western Australia,FATAL,Y
56,2016,AUSTRALIA,Western Australia,FATAL,Y
57,2016,USA,California,Injuries to arm and shoulder,N
58,2016,USA,Florida,Injury to posterior right leg,N
59,2016,USA,Florida,Puncture wounds to thigh,N
60,2016,USA,Florida,Lacerations and puncture wounds to foot and ankle,N
61,2016,USA,Florida,"Back, arm & hand injured",N
62,2016,USA,Florida,Ankle bitten,N
63,2016,USA,Florida,Arm grabbed PROVOKED INCIDENT,N
64,2016,USA,Hawaii,Minor lacerations to right shoulder,N
67,2016,USA,Florida,Minor injury to left foot,N
68,2016,SOUTH AFRICA,Western Cape Province,"No injury, surf-ski bitten",N
69,2016,AUSTRALIA,New South Wales,Minor puncture wound to foot,N
71,2016,USA,Florida,Multiple bites to right arm,N
74,2016,USA,Florida,Left hand bitten,N
75,2016,USA,Florida,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N
76,2016,USA,Hawaii,Minor injury to left foot,N
77,2016,AUSTRALIA,New South Wales,Severe injury to thigh,N
78,2016,USA,Florida,Minor injury to arm. Possibly caused by smalll nurse shark,N
79,2016,AUSTRALIA,New South Wales,"No injury, board dented",N
81,2016,USA,California,Board reportedly bumped by shark. No injury,N
82,2016,USA,Florida,Lacerations to right foot and ankle,N
84,2016,USA,Florida,Superficial injury to foot,N
85,2016,AUSTRALIA,South Australia,Puncture wounds to right calf,N
91,2016,AUSTRALIA,Tasmania,"No injury, knocked off board",N
92,2016,AUSTRALIA,Queensland,Foot nipped,N
93,2016,AUSTRALIA,New South Wales,"No injury, shark bit board",N
94,2016,SOUTH AFRICA,KwaZulu-Natal,"No injury, shark capsized kayak",N
95,2016,USA,Hawaii,Lacerations to both hands,N
96,2016,USA,Hawaii,No injury,N
97,2016,USA,Texas,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N
99,2016,USA,Hawaii,No injury,N
100,2016,AUSTRALIA,Queensland,Laceration to right foot,N
101,2016,AUSTRALIA,Queensland,Laceration to right calf,N
102,2016,AUSTRALIA,Queensland,Lacerations to arms & leg,N
103,2015,SOUTH AFRICA,KwaZulu-Natal,"No injury, kayak damaged",N
105,2015,USA,Hawaii,"No injury, shark bit board",N
106,2015,AUSTRALIA,New South Wales,"No injury, shark leapt on surfboard",N
109,2015,AUSTRALIA,New South Wales,"No injury, shark rammed boat & bit motor",N
111,2015,SOUTH AFRICA,Eastern Cape Province,Lacerations to both hands and forearms,N
112,2015,USA,Florida,Right heel injured,N
113,2015,USA,Florida,Leg injured,N
114,2015,USA,Florida,Lacerations to hand,N
115,2015,AUSTRALIA,New South Wales,Injury to left thigh,N
116,2015,USA,Florida,Lower left leg injured,N
117,2015,USA,Hawaii,Laceration to right ankle,N
118,2015,USA,Florida,Injury to right ankle/calf & hand,N
120,2015,AUSTRALIA,Western Australia,Minor injury,N
121,2015,USA,Hawaii,"Lacerations & puncture wounds to right thigh, calf & ankle",N
122,2015,SOUTH AFRICA,Western Cape Province,"Lacerations to right calf, knee & hip",N
123,2015,USA,Florida,Lacerations to left hand,N
124,2015,USA,Florida,Left foot bitten,N
126,2015,USA,Hawaii,Left foot bitten by eel,N
127,2015,USA,Hawaii,Injuries to lower legs,N
128,2015,USA,California,"No injury, shark rammed kayak repeatedly",N
129,2015,USA,South Carolina,Laceration to forearm,N
130,2015,USA,Hawaii,"Left leg severed below the knee, defense injuries to left hand",N
132,2015,AUSTRALIA,Western Australia,Foot injured,N
133,2015,USA,Florida,2 lacerations to ankle,N
134,2015,USA,Texas,Foot & hands bitten,N
135,2015,USA,Florida,Severe lacerations to left hand,N
136,2015,USA,Florida,"Laceration to heel, puncture wounds to dorsum of foot",N
137,2015,AUSTRALIA,Queensland,Laceration to leg,N
138,2015,USA,California,"No injury, kayak damaged",N
139,2015,USA,Florida,Minor injury to left ankle,N
140,2015,USA,Hawaii,Severe laceration to left leg,N
141,2015,USA,Florida,Significant injuries to leg,N
142,2015,USA,Florida,Injury to right hand / wrist,N
143,2015,USA,Florida,Lacerations to calf,N
144,2015,USA,Florida,Injury to right foot,N
145,2015,AUSTRALIA,New South Wales,Minor laceration to hand,N
146,2015,USA,California,"No injury, shark struck board, tossing her into the sea",N
147,2015,USA,California,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N
148,2015,AUSTRALIA,New South Wales,Inuries to lower left leg & ankle,N
149,2015,USA,South Carolina,Right foot bitten,N
