Year,Month,Type,Fatal,Sex,Country,Case Number,Decade
1901,6,Unprovoked,N,M,USA,1901.00.00,Años 00
1901,12,Unprovoked,N,M,AUSTRALIA,1901.12.01,Años 00
1901,10,Unprovoked,N,M,PHILIPPINES,1901.10.00,Años 00
1901,1,Unprovoked,Y,M,AUSTRALIA,1901.01.30,Años 00
1901,7,Unprovoked,Y,M,SOUTH AFRICA,1901.07.30,Años 00
1901,6,Unprovoked,N,M,PHILIPPINES,1901.06.24,Años 00
1901,9,Unprovoked,Y,M,CYPRUS,1901.09.23.R,Años 00
1902,12,Unprovoked,Y,M,NICARAGUA,1902.12.22.R,Años 00
1902,11,Unprovoked,Y,M,AUSTRALIA,1902.11.10,Años 00
1902,11,Unprovoked,N,M,USA,1902.11.01.R,Años 00
1902,8,Unprovoked,Y,M,ITALY,1902.08.28.R,Años 00
1902,8,Boating,N,M,CROATIA,1902.08.24.R,Años 00
1902,8,Unprovoked,Y,M,USA,1902.08.08,Años 00
1902,7,Provoked,N,M,USA,1902.07.06,Años 00
1902,6,Unprovoked,N,M,PHILIPPINES,1902.06.02,Años 00
1902,6,Unprovoked,N,M,EGYPT,1902.06.00,Años 00
1902,2,Provoked,N,M,NEW ZEALAND,1902.02.22.R,Años 00
1902,1,Unprovoked,Y,M,AUSTRALIA,1902.01.25.R,Años 00
1902,1,Unprovoked,N,M,AUSTRALIA,1902.01.19,Años 00
1902,7,Provoked,N,M,ITALY,1902.07.15,Años 00
1903,7,Unprovoked,N,M,FALKLAND ISLANDS,1903.07.00,Años 00
1903,10,Unprovoked,Y,M,CUBA,1903.10.04,Años 00
1903,9,Unprovoked,N,M,USA,1903.09.16.R,Años 00
1903,6,Unprovoked,Y,M,AUSTRALIA,1903.06.21,Años 00
1903,6,Unprovoked,Y,M,USA,1903.00.00.a,Años 00
1903,3,Unprovoked,Y,M,AUSTRALIA,1903.03.20.R,Años 00
1903,3,Unprovoked,Y,M,AUSTRALIA,1903.03.12,Años 00
1903,1,Unprovoked,Y,M,AUSTRALIA,1903.01.10,Años 00
1903,6,Unprovoked,Y,M,CRETE,1903.00.00.b,Años 00
1903,5,Unprovoked,Y,M,MEXICO,1903.05.04,Años 00
1904,8,Unprovoked,Y,M,CUBA,1904.08.00,Años 00
1904,11,Unprovoked,N,M,PHILIPPINES,1904.11.02,Años 00
1904,10,Unprovoked,Y,M,INDIAN OCEAN,1904.10.11.R,Años 00
1904,9,Unprovoked,Y,M,CUBA,1904.09.00,Años 00
1904,7,Unprovoked,N,M,USA,1904.07.28,Años 00
1904,1,Unprovoked,Y,M,NEW CALEDONIA,1904.01.23,Años 00
1904,7,Unprovoked,Y,M,ITALY,1904.07.01.R,Años 00
1904,2,Unprovoked,Y,M,AUSTRALIA,1904.02.07,Años 00
1904,2,Unprovoked,Y,M,NEW ZEALAND,1904.02.04,Años 00
1904,6,Unprovoked,Y,M,USA,1904.00.00.a,Años 00
1904,6,Unprovoked,N,M,PHILIPPINES,1904.00.00.b,Años 00
1904,7,Unprovoked,Y,M,USA,1904.07.27,Años 00
1905,12,Unprovoked,Y,M,SOUTH AFRICA,1905.12.31,Años 00
1905,9,Unprovoked,Y,M,AUSTRALIA,1905.09.29,Años 00
1905,8,Unprovoked,N,M,USA,1905.08.00.b,Años 00
1905,7,Unprovoked,Y,M,USA,1905.07.29,Años 00
1905,8,Unprovoked,N,M,PHILIPPINES,1905.08.00.a,Años 00
1905,5,Unprovoked,N,M,USA,1905.05.22,Años 00
1905,4,Unprovoked,Y,M,SOUTH AFRICA,1905.04.06,Años 00
1905,3,Unprovoked,N,M,AUSTRALIA,1905.03.26,Años 00
1905,6,Boating,N,UNKNOWN,USA,1905.00.00,Años 00
1905,7,Unprovoked,Y,M,USA,1905.07.00,Años 00
1906,9,Unprovoked,Y,M,INDONESIA,1906.09.27.R.a,Años 00
1906,11,Unprovoked,N,M,JAMAICA,1906.11.16,Años 00
1906,10,Unprovoked,N,M,USA,1906.10.10.d.R,Años 00
1906,10,Unprovoked,Y,M,USA,1906.10.10.c.R,Años 00
1906,10,Unprovoked,N,M,USA,1906.10.10.b.R,Años 00
1906,10,Unprovoked,Y,M,USA,1906.10.10.a.R,Años 00
1906,9,Unprovoked,N,M,INDONESIA,1906.09.27.R.b,Años 00
1906,9,Unprovoked,Y,M,AUSTRALIA,1906.09.05.R,Años 00
1906,4,Provoked,N,M,AUSTRALIA,1906.04.16,Años 00
1906,8,Unprovoked,N,M,YEMEN,1906.08.20,Años 00
1906,8,Unprovoked,Y,M,USA,1906.08.04,Años 00
1906,7,Unprovoked,Y,M,USA,1906.07.05.R,Años 00
1906,4,Unprovoked,Y,M,INDONESIA,1906.04.27.R,Años 00
1906,1,Unprovoked,Y,M,SOUTH AFRICA,1906.01.20,Años 00
1906,4,Unprovoked,Y,M,AUSTRALIA,1906.04.14,Años 00
1906,4,Sea Disaster,Y,M,INDONESIA,1906.04.10.R.a & b,Años 00
1906,1,Unprovoked,Y,M,AUSTRALIA,1906.01.28,Años 00
1906,9,Provoked,N,M,USA,1906.09.00,Años 00
1907,8,Unprovoked,Y,F,CROATIA,1907.08.12.b..R,Años 00
1907,9,Unprovoked,Y,F,CROATIA,1907.09.11,Años 00
1907,10,Unprovoked,N,M,USA,1907.10.08,Años 00
1907,12,Unprovoked,Y,M,AUSTRALIA,1907.12.21,Años 00
1907,10,Unprovoked,N,M,CHINA,1907.10.16.R,Años 00
1907,10,Unprovoked,Y,M,AUSTRALIA,1907.10.18.R,Años 00
1907,8,Unprovoked,Y,M,CROATIA,1907.08.12.a..R,Años 00
1907,10,Unprovoked,Y,M,CHINA,1907.10.16.R,Años 00
1907,8,Unprovoked,N,M,USA,1907.08.08.R,Años 00
1907,10,Unprovoked,N,M,AUSTRALIA,1907.10.14,Años 00
1907,7,Unprovoked,N,M,USA,1907.07.00,Años 00
1907,4,Unprovoked,N,M,MEXICO,1907.04.20,Años 00
1907,3,Unprovoked,Y,M,USA,1907.03.26,Años 00
1907,3,Unprovoked,Y,M,MALTA,1907.03.07,Años 00
1907,2,Unprovoked,N,M,PHILIPPINES,1907.02.09,Años 00
1907,2,Unprovoked,Y,M,NEW ZEALAND,1907.02.05,Años 00
1907,2,Unprovoked,Y,M,AUSTRALIA,1907.02.03,Años 00
1907,6,Unprovoked,N,M,VIETNAM,1907.00.00.b,Años 00
1907,6,Unprovoked,Y,M,USA,1907.00.00.a,Años 00
1907,7,Unprovoked,Y,F,CROATIA,1907.07.14.R,Años 00
1908,12,Unprovoked,Y,M,SOUTH AFRICA,1908.12.31,Años 00
1908,12,Unprovoked,Y,M,MEXICO,1908.12.16.R,Años 00
1908,9,Unprovoked,Y,M,AUSTRALIA,1908.09.21,Años 00
1908,9,Unprovoked,N,M,USA,1908.09.05,Años 00
1908,8,Unprovoked,Y,M,SPAIN,1908.08.28.R,Años 00
1908,6,Unprovoked,Y,M,EGYPT,1908.06.18,Años 00
1908,6,Sea Disaster,Y,M,USA,1908.06.08,Años 00
1908,6,Sea Disaster,Y,UNKNOWN,PAPUA NEW GUINEA,1908.06.02.R,Años 00
1908,5,Sea Disaster,Y,UNKNOWN,INDONESIA,1908.05.13,Años 00
1908,1,Unprovoked,Y,M,USA,1908.01.08,Años 00
1908,7,Unprovoked,Y,F,CROATIA,1908.07.08.R,Años 00
1909,8,Unprovoked,Y,M,USA,1909.08.13,Años 00
1909,12,Unprovoked,N,M,USA,1909.12.26.R,Años 00
