,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
7,2016,Unprovoked,USA,Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30
9,2016,Unprovoked,USA,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,Late afternoon
30,2016,Unprovoked,USA,Surfing,F,9,Minor injury to leg,N,1300
31,2016,Unprovoked,USA,,F,11,Minor injury to toes,N,11h00
34,2016,Unprovoked,SPAIN,Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,
38,2016,Unprovoked,USA,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30
48,2016,Unprovoked,USA,Floating in tube,F,6,Injury to lower leg,N,17h30
52,2016,Unprovoked,AUSTRALIA,Diving,F,60,FATAL,Y,11h30
57,2016,Unprovoked,USA,Swimming,F,52,Injuries to arm and shoulder,N,16h00
59,2016,Unprovoked,USA,Swimming,F,57,Puncture wounds to thigh,N,12h00
60,2016,Unprovoked,USA,Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,18h00
61,2016,Unprovoked,USA,Swimming,F,11,"Back, arm & hand injured",N,17h46
63,2016,Provoked,USA,Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,13h20
72,2016,Unprovoked,NEW CALEDONIA,Walking,F,69,FATAL,Y,10h45
76,2016,Unprovoked,USA,Snorkeling,F,46,Minor injury to left foot,N,11h00
89,2016,Unprovoked,DOMINICAN REPUBLIC,Wading,F,27,Avulsion injury to lower leg,N,15h00
92,2016,Unprovoked,AUSTRALIA,Walking,F,45,Foot nipped,N,13h20
96,2016,Unprovoked,USA,Surfing,F,15,No injury,N,11h30
104,2015,Unprovoked,SPAIN,Swimming,F,38,Lacerations to left forearm,N,
111,2015,Unprovoked,SOUTH AFRICA,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,Morning
113,2015,Unprovoked,USA,Swimming,F,27,Leg injured,N,Morning
118,2015,Unprovoked,USA,Wading,F,28,Injury to right ankle/calf & hand,N,14h00
125,2015,Unprovoked,MOZAMBIQUE,Fishing for shrimp,F,35,FATAL,Y,
129,2015,Unprovoked,USA,Boogie boarding,F,9,Laceration to forearm,N,16h20
137,2015,Unprovoked,AUSTRALIA,Snorkeling,F,7,Laceration to leg,N,Afternoon
146,2015,Unprovoked,USA,Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30
150,2015,Unprovoked,THAILAND,Wading,F,37,Left foot & ankle bitten,N,08h30
152,2015,Unprovoked,USA,Surfing,F,54,"No injury, surfboard bitten",N,10h25
157,2015,Unprovoked,USA,Walking,F,10,Lacerations to right leg,N,15h30
172,2015,Unprovoked,BAHAMAS,Spearfishing,F,23,Lacerations to lower leg & ankle,N,
192,2015,Unprovoked,USA,Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,16h12
193,2015,Unprovoked,USA,,F,27,Severe laceration to leg,N,
194,2015,Unprovoked,USA,Boogie boarding,F,13,Minor lacerations to foot,N,12h45
196,2015,Unprovoked,USA,Attempting to rescue a shark,F,17,Puncture wound to finger,N,
198,2015,Unprovoked,USA,Standing,F,14,Left foot bitten,N,15h00
199,2015,Unprovoked,USA,Wading,F,19,Minor lacerations to dorsum of right foot,N,13h45
201,2015,Unprovoked,USA,Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,
208,2015,Unprovoked,USA,Snorkeling,F,65,FATAL,Y,09h00
226,2015,Unprovoked,REUNION,Swimming,F,22,FATAL,Y,18h30
238,2015,Unprovoked,BAHAMAS,Snorkeling,F,34,Severe bite to right flank,N,16h00
258,2014,Unprovoked,USA,Surfing,F,34,Lacerations to fingers,N,11h00
260,2014,Unprovoked,USA,Stand-Up Paddleboarding,F,27,"No injury, paddleboard bitten",N,10h00
262,2014,Boat,USA,Canoeing,F,27,"No injury to occupant, canoe bitten",N,
264,2014,Unprovoked,AUSTRALIA,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30
265,2014,Unprovoked,USA,Standing in inner tube,F,7,Lacerations to left foot,N,
266,2014,Unprovoked,USA,Body surfing or Boogie boarding,F,27,Laceration to right hand/wrist,N,15h30
267,2014,Unprovoked,USA,Fishing,F,40,Thigh bitten,N,Afternoon
276,2014,Unprovoked,FRENCH POLYNESIA,Feeding fish,F,36,Thumb & finger nipped,N,
280,2014,Unprovoked,USA,Kayaking ,F,20,"No injury, shark bit kayak",N,18h00
283,2014,Unprovoked,USA,Body surfing,F,13,Injury to left calf,N,16h40
287,2014,Unprovoked,SPAIN,Swimming,F,30,Minor lacerations to posterior lower leg,N,
289,2014,Unprovoked,USA,Standing,F,27,Heel bitten,N,15h00
296,2014,Unprovoked,USA,Swimming,F,10,Puncture wounds to right foot & ankle,N,13h30
299,2014,Unprovoked,USA,Swimming,F,45,Lacerations to  foot,N,
325,2014,Unprovoked,USA,Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N,Afternoon
