,Year,Ocean_Sea
0,2016,NORTH_ATLANTIC
1,2016,NORTH_ATLANTIC
2,2016,NORTH_ATLANTIC
6,2016,NORTH_ATLANTIC
7,2016,NORTH_PACIFIC
9,2016,NORTH_ATLANTIC
11,2016,NORTH_ATLANTIC
12,2016,NORTH_PACIFIC
13,2016,NORTH_ATLANTIC
14,2016,NORTH_ATLANTIC
16,2016,NORTH_ATLANTIC
17,2016,NORTH_ATLANTIC
18,2016,NORTH_PACIFIC
19,2016,NORTH_ATLANTIC
23,2016,NORTH_ATLANTIC
27,2016,NORTH_ATLANTIC
29,2016,GULF_OF_MEXICO
30,2016,NORTH_ATLANTIC
31,2016,NORTH_ATLANTIC
32,2016,NORTH_ATLANTIC
33,2016,NORTH_ATLANTIC
35,2016,NORTH_PACIFIC
36,2016,NORTH_ATLANTIC
37,2016,NORTH_PACIFIC
38,2016,NORTH_ATLANTIC
40,2016,NORTH_ATLANTIC
41,2016,NORTH_ATLANTIC
42,2016,CARIBBEAN_SEA
44,2016,NORTH_ATLANTIC
45,2016,NORTH_ATLANTIC
46,2016,NORTH_PACIFIC
48,2016,GULF_OF_MEXICO
49,2016,NORTH_ATLANTIC
50,2016,NORTH_ATLANTIC
51,2016,NORTH_ATLANTIC
57,2016,NORTH_PACIFIC
58,2016,NORTH_ATLANTIC
59,2016,NORTH_ATLANTIC
60,2016,NORTH_ATLANTIC
61,2016,NORTH_ATLANTIC
62,2016,NORTH_ATLANTIC
63,2016,NORTH_ATLANTIC
64,2016,NORTH_PACIFIC
67,2016,NORTH_ATLANTIC
71,2016,NORTH_ATLANTIC
74,2016,NORTH_ATLANTIC
75,2016,NORTH_ATLANTIC
76,2016,NORTH_PACIFIC
78,2016,NORTH_ATLANTIC
80,2016,NORTH_ATLANTIC
81,2016,NORTH_PACIFIC
82,2016,NORTH_ATLANTIC
84,2016,NORTH_ATLANTIC
86,2016,SOUTH_ATLANTIC
89,2016,CARIBBEAN_SEA
90,2016,CARIBBEAN_SEA
95,2016,NORTH_PACIFIC
96,2016,NORTH_PACIFIC
97,2016,GULF_OF_MEXICO
99,2016,NORTH_PACIFIC
105,2015,NORTH_PACIFIC
107,2015,SOUTH_ATLANTIC
110,2015,NORTH_ATLANTIC
112,2015,NORTH_ATLANTIC
113,2015,NORTH_ATLANTIC
114,2015,NORTH_ATLANTIC
116,2015,NORTH_ATLANTIC
117,2015,NORTH_PACIFIC
118,2015,NORTH_ATLANTIC
121,2015,NORTH_PACIFIC
123,2015,NORTH_ATLANTIC
124,2015,NORTH_ATLANTIC
126,2015,NORTH_PACIFIC
127,2015,NORTH_PACIFIC
128,2015,NORTH_PACIFIC
129,2015,NORTH_ATLANTIC
130,2015,NORTH_PACIFIC
133,2015,NORTH_ATLANTIC
134,2015,GULF_OF_MEXICO
135,2015,NORTH_ATLANTIC
136,2015,NORTH_ATLANTIC
138,2015,NORTH_PACIFIC
139,2015,NORTH_ATLANTIC
140,2015,NORTH_PACIFIC
141,2015,NORTH_ATLANTIC
142,2015,NORTH_ATLANTIC
143,2015,NORTH_ATLANTIC
144,2015,NORTH_ATLANTIC
146,2015,NORTH_PACIFIC
147,2015,NORTH_PACIFIC
149,2015,NORTH_ATLANTIC
152,2015,NORTH_PACIFIC
