Número de ataques por área,
Area,Número de ataques
Florida,990
New South Wales,468
Queensland,300
Hawaii,282
California,276
KwaZulu-Natal,210
Western Cape Province,188
Western Australia,172
Eastern Cape Province,156
South Carolina,145
South Australia,103
North Carolina,100
Victoria,81
Texas,71
Torres Strait,70
Pernambuco,70
North Island,65
New Jersey,49
Tasmania,41
South Island,39
Oregon,28
New York,27
Northern Territory,23
Abaco Islands,22
Central Province,22
Virginia,19
Havana Province,18
South Province,17
Puerto Rico,16
Gaza,16
Madang Province,15
New Ireland Province,15
Veracruz,15
Alabama,14
Guerrero,13
Khuzestan Province,13
Georgia,13
Quintana Roo,12
Adriatic Sea,12
North Province,12
Rio de Janeiro,11
Louisiana,11
Tyrrhenian Sea,11
Malampa Province,11
Luzon Island,11
Massachusetts,11
Mediterranean Sea,11
Baja California,10
Grand Bahama Island,10
Bougainville (North Solomons),9
Society Islands,9
 Primorje-Gorski Kotar County,9
Red Sea,9
Eastern Province,9
Basrah,9
New Britain,8
Kingston Parish,8
West Bengal,8
"Admiralty Islands, Manus Province",8
Viti Levu Island,8
Milne Bay Province,8
Binh Dinh Province,8
Morobe Province,8
Maputo Province,8
Mirs Bay ,7
New Providence Island,7
South Sinai Peninsula,7
Tamil Nadu,7
Andros Islands,7
Maryland,7
Aden,7
West New Britain Province,7
Delaware,7
Canary Islands,7
Karun River,7
Caribbean Sea,7
Sicily,7
Rhode Island,7
Loyalty Islands,6
Guantanamo Province,6
Shatt-al-Arab River,6
Cap Vert Peninsula,6
Connecticut,6
Coast Province,6
Hamilton,6
Tuamotus,6
Ehime Prefecture,6
Galapagos Islands,6
Bimini Islands,6
Inhambane Province,6
Bali,5
Exuma Islands,5
Limpopo River,5
US Virgin Islands,5
Maranhão,5
Western Province,5
Mississippi,5
Tamaulipas,5
Western Area,5
Madang,5
Vava'u,5
Taveuni,5
"22ºN, 88ºE",4
Guerro,4
Catalonia,4
Saint-Paul,4
Eleuthera,4
Cook Islands,4
New Territories,4
Vita Levu,4
Zadar County,4
Vanua Levu,4
Saint-Denis,4
Tuscany,4
Saint-Gilles,4
"New Ireland Province, Bismarck Archipelago",4
Sinai Peninsula,4
Sardinia,4
Banaadir Region,4
Liguria,4
Upolu Island,3
Manila,3
Tutuila Island,3
Yasawa Islands,3
Trinidad,3
Vavau,3
Zamboanga del Sur Province,3
"Abau Sub District, Central Province",3
Guadalcanal Province,3
Saint-Pierre,3
Louisiade Archipelago,3
Santiago de Cuba Province,3
Saint-Gilles-les-Bains,3
Vitu Levu,3
" Split-Dalmatia Count,",3
Okayama Prefecture,3
Lake Nicaragua (fresh water),3
La Libertad,3
St. Andrew Parish,3
St. Johns Reef,3
New York ,3
Gulf of Panama,3
Eniwetok Atoll,3
Bahia,3
Westmoreland Parish,3
Guerrrero,3
Nova Scotia,3
Devon,3
Western Caroline Islands,3
Sinaloa,3
Cádiz,3
Java,3
Alicante,3
Mombasa,3
Cornwall,3
Hong Kong,3
Viti Levu,3
Primorje-Gorski Kotar County ,3
Istria County,3
Isle of Wight,3
Grand'Anse,3
Red Sea State,3
Colima,3
Corfu Island,3
Calabria,3
Northern Taiwan,3
Sussex,2
Alinglaplap Atoll,2
Colon Province,2
Canal Zone,2
East Sepik,2
Palmyra Atoll,2
dÉtang-Salé,2
Eastern  Province,2
Out Islands,2
Great Exuma Island,2
Bora Bora,2
Honiara,2
Torres Strait ,2
Near Puntarenas,2
New Ireland,2
Gilbert Islands,2
Inhambe Province,2
Paget,2
Ionian Sea,2
Côte d'Azur ,2
Kadavu,2
Dodecanese Islands,2
Off the coast of West Africa,2
Matanzas Province (north coast),2
Between Hawaii & Wake Island,2
Vera Cruz,2
Valencia,2
Saint-Joseph,2
Maharashtra,2
Dorset,2
Off Libya,2
Caicos Bank,2
Eastern Caroline Islands,2
Miyako,2
Palawan,2
East New Britain Province,2
Berry Islands,2
Southland,2
Orissa,2
East Java,2
Oaxaca,2
Limón Province,2
Newfoundland,2
Duke of York Islands,2
Corfu,2
Nuku'alofa,2
Cheshire,2
Colón Province,2
Montserrado,2
Guanacaste,2
Saint-Benoît,2
Grand Canary Island,2
St Michael Parish,2
 Split-Dalmatia County,2
English Channel,2
Venice Province,2
New Georgia,2
Western Area ,2
San Blas Islands,2
Ligurian Sea,2
Malaga,2
Rangoon,2
Rio Grande de Norte,2
Tongapatu Group,2
Sea of Japan,2
1000 miles west of Hawaii,2
Nueva Esparta,2
Saint-Philippe,2
West End,2
Makira-Ulawa Province,2
Hoogly River,2
Taitung ,2
Praslin,2
North Carolina ,2
Anzoategui,2
Camaguey Province,2
Luzon,2
Wakayama Prefecture,2
Ralik Archipelago,2
Saint-Benoit,2
Victoria ,2
Grand Terre,2
Miyako Island,2
Rocha,2
Gulf Province,2
Saint-Leu,2
Cat Cay,2
Phoenix Islands,2
Villa Clara Province,2
Lau Group,2
PANAMA,1
"South Sinai, Gulf of Aqaba",1
Maluku Province,1
Off Vanua Levu,1
Alaska,1
Maine,1
Skagerrak arm of the North Sea,1
Off South American coast,1
Southern Thailand,1
Between Southampton & Canary Islands,1
Zambesi River,1
Andalucia,1
Ahirkapi coast,1
Dar-es-Salaam ,1
Johor,1
In the English Channel ,1
18S / 50E,1
"19S, 178?E",1
Saint-Paul ,1
San Andrés archipelago,1
"1,000 miles east of Hawaii",1
Eronogo Region,1
180 miles southeast of Okinawa,1
Sants-Montjic,1
Antalya Province,1
Los Vilos,1
Caribbean Coast,1
Gibraltar,1
 New Jersey,1
Thessaly,1
Wake Island,1
Lomaiviti Provine,1
Gulf of Tadjoura,1
Beaufonds,1
Atsumi peninsula,1
KwaZulu-Natal between Port Edward and Port St Johns,1
Edinburgh,1
Between Hawaii and U.S.A.,1
Illeginni Atoll,1
Moala Island,1
Bay Islands,1
Magarita or Cubagua Islands,1
Between New Ireland & New Britain,1
Namonuito Atoll,1
South Korea,1
Fernando Po Island,1
Western Papuan Gulf,1
Between Noumea & Sydney,1
Saint Leu,1
Norfolk,1
"Near Dakar, Cap Vert Peninsula",1
Argyll,1
Milne Bay  Province,1
Washington,1
L' Etang Salé-les-Bains,1
Southern Japan,1
Moluccas,1
Saint-Louis,1
Santo Domingo,1
Cortés,1
Tabuk Province,1
Queaon,1
Clearwater Bay,1
Caroline Islands,1
Apolima Strait,1
Isles del Rosario,1
Grand Cayman,1
Mozambique Channel,1
Batangas province,1
"Between Timor & Darwin, Australia",1
Northern Peloponnese,1
"Chatham Islands, east of New  Zealand",1
Roncador Bank,1
Ba Ria-Vung Tau  Province,1
Northlands,1
United Arab Emirates,1
Corregidor Island,1
Florida Straits,1
Bardestrand,1
Shanghai,1
Eastern Cape  Province,1
Bay of Biscay,1
Saipan,1
Negros ,1
North Sumatra,1
"Somewhere between Philadelphia and Hiogo, Japan",1
Bay of Bengal,1
Primorsky Krai,1
San Blas coast,1
Strait of Messina,1
Pacific coast,1
"Cavite Province, Luzon",1
Lomaiviti  Island Group,1
New Mexico,1
Madeira Islands,1
Marches region,1
Kent,1
Northwest Italy,1
300 miles east of St. Thomas (Virgin Islands),1
Off Ireland,1
Rodrigues,1
"33N, 68W",1
Midway Atoll,1
North & South Carolina,1
Isle of Man,1
Ascension Bay,1
Magdalena Department,1
"Unknown, treated at Wick, SCOTLAND",1
Shatt-el-Arab River,1
Kerala,1
Ysabel Island,1
Sharon,1
"North of Pernambuco, Brazil",1
Near the Andaman & Nicobar Islands,1
Madang (WO),1
Between Honiara & Isabel Island,1
Valpariso Province,1
San Blas,1
Middle Caicos,1
Fife,1
Kagawa Prefecture,1
Masbate,1
"On the Kowloon penisula, south of Sai Kung",1
Worcestershire,1
Grand Baie,1
(Southwestern Pacific),1
Between Comores & Madagascar,1
New Brunswick,1
"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",1
Salerno,1
Green Bay,1
Alpes Maritime,1
Rio Grande Do Sul,1
Kwajalein,1
South China Sea 200 miles from Hong Kong,1
In Convoy OB 274,1
Bay of Monaco,1
Buenos Aires Province,1
Cabo San Lucas,1
Riau Province,1
Slovenia,1
 La Libertad,1
Carabobo,1
Illinois,1
Surigao del Norte,1
Antsiranana Province,1
Northern (Oro) Province,1
Isla Provedencia,1
Ambergris Caye,1
La Saline-les-Bains,1
Golfo di Genova in the Ligurian Sea,1
South Carolina ,1
Trelawney Province,1
St. Catherine,1
Off the coast of South America,1
Marovo Lagoon,1
Ryukyu,1
Cienfuegos Province,1
East New Britain,1
30 nm from Singapore,1
West of Ceylon (Sri  Lanka),1
"Off the Coromandel Peninsula, North Island",1
Genoa  Province,1
Colon,1
Cape Coast,1
"250 miles southwest of O'ahu, Hawaii",1
Missouri,1
Shat-Al-Arab River,1
Cap-Vert Peninsula,1
Santa Elena,1
 Loyalty Islands,1
Kochi Prefecture,1
Between Perth & Colombo,1
In the Gulf Stream ,1
Bay of Maputo,1
Andikira Fokithes,1
Phang nga Province,1
Khánh Hòa Province,1
Phuket,1
Los Roques  Islands,1
Between Kwajalein Atoll & Johnston Island,1
Lucy,1
Panama Bay (Pacific Ocean),1
Leyte Island,1
Bikini Atoll,1
British Colombia,1
Merizo,1
Southern Province,1
Catalunya,1
Pacific Ocean,1
Sfax,1
Las Perlas archipelago,1
Rangiroa,1
North Palawan,1
Shefa Province,1
800 miles from land,1
Rocha ,1
Black River,1
Nicoya Peninsula,1
Herzliyah,1
San Carlos,1
04.05N-13.23W,1
Lamu Archipelago,1
Attica,1
Northern District,1
Off Cape Haitien,1
Leyte,1
300 miles east of Luzon,1
Pagasitikos Gulf,1
Coquimbo,1
Western Viscayas,1
Amirante Islands,1
Romblon Province,1
Near Bougainville (North Solomons),1
Halifax,1
Ralik Chain,1
Samaná Province,1
Basrah City,1
Pennsylvania,1
Panama City,1
"2 to 3 miles off Taboguilla Island, Pacific Ocean",1
Calvados Archipelago,1
Savona,1
Queensland ,1
Mount Lebanon,1
Tavenui,1
Southern Cyprus,1
Andaman Islands,1
Porto Seguro,1
Clarendon,1
200 nm southeast of Manila,1
 Manila Bay,1
Santiago Island,1
Ho Ha Wan Marine Park,1
400 miles southeast of Sri Lanka,1
Easter Ross,1
Altagracia Province,1
Cook Strait,1
Inner Hebrides,1
Tyrrenian Sea,1
Ibaraki Prefecture,1
Western Banks,1
Kentucky,1
Grand Turk Island,1
Camiguin Island,1
Casamance,1
Curacao,1
St. Mary's Parish,1
Piraeus,1
Open sea,1
Off Samar Island in the Gulf of Leyte,1
Northern Java,1
Santa Isabel Province,1
South Pacific Ocean,1
"South Coast, East New Britain",1
Umm al Qaywayan Province,1
North Devon,1
Kadavu Island Group,1
North China,1
Bois-Blanc ,1
Wake Island (EnenKio),1
Brittany,1
Johnston Atoll,1
Genoa Province,1
South Ch'ungch'ong Province,1
Harare Province,1
Between DR and Puerto Rico,1
Argyllshire,1
Bonin Islands,1
Costa Blanca,1
Singapore Harbor,1
Veracruz ,1
Paraiba,1
740 miles SE of Tarawa Atoll,1
Island of St. Thomas,1
Adana Province,1
L'Etang-Salé,1
 Lau Province,1
"10ºS, 142ºE",1
South of the Equator ,1
Delta,1
North Region,1
Between Somalia & Yemen,1
"South Island, near Karitane north of Dunedin",1
St. Anne,1
Oslo Fjord,1
Chatham Islands,1
Bwagaoia,1
Moorea,1
South Island?,1
Tamilnadu,1
Northern Bahamas,1
Laucala Island,1
40 miles south of Naples ,1
Jeju Province,1
Balearics,1
Ganges-Brahmaputra delta,1
Gulf of Lyons,1
Tongatapu,1
Rigo subdistrict,1
Cyrenaica,1
Elqui Province,1
Central Tuamotu,1
Mindanao,1
Tuamotos,1
Mersin Province,1
Lower San Juan River,1
Lomaiviti Province,1
Bernardino Strait near Gulf of Leyte,1
West Africa,1
French Southern Territories,1
Galicia,1
Batanes Provine,1
Near the Fiji Islands,1
Toamasina Province,1
Baie de Sainte-Marie,1
Galica,1
150 miles offshore,1
Tiburon Peninsula,1
Estuaire Province,1
Southwest coast,1
Istanbul,1
In transit between Tinian and Leyte,1
Reggio Calabria Province,1
Aichi Prefecture,1
Chatham Islands ,1
Trois-Bassins,1
Wallis and Futuna,1
Primorje-Gorski Kotar County,1
"New Ireland, Bismarck Archipelago",1
North Pacific coast,1
Island of Volos,1
Golfo de Venezia,1
Bandar Mashur sea inlet,1
Island of Kos,1
Syracuse,1
Muala,1
South shore ,1
Eastern Catalona,1
Cay Sal Bank,1
Vancouver,1
Suez,1
Tokyo Prefecture,1
Santa Catarina State,1
Santa Cruz Island,1
Gran Canaria,1
Salinas Bay,1
Sanma Province,1
Walkers Cay,1
Bay of Campeche,1
Cook islans,1
Nagasaki Prefecture,1
Territory of Cocos (Keeling) Islands,1
Woodlark Islands,1
Niua ,1
Off Green Island,1
Cargados Carajos Shoals (St. Brandon),1
Valencia ,1
Mindoro,1
Boa Vista Island,1
South Atlantic Ocean,1
Congreve Channel,1
165  miles from Bermuda,1
Barlavento Islands,1
Misamis Oriental,1
East Wall,1
Western Caroline Islands (North Pacific Ocean),1
Cyclades archipelago,1
Quezon,1
Trieste,1
Mangaia Island,1
Conakry Region,1
Puntarenas Province,1
Off Thessaly,1
Baatan,1
Antofagasta Province,1
Liguaria,1
Biserta,1
Aulong Island,1
Bocas del Toro Province,1
Carpathian Sea,1
Mercury Islands,1
Alagoas,1
 North Carolina,1
Demerara County,1
Mafia Island,1
Wakaya Island,1
Enroute from Suez to Aden (Yemen),1
Bayelsa State,1
Mindoro Occidental,1
Rombion Province,1
Kagoshima Prefecture,1
Northern Province,1
Viscayan Sea,1
Pinas Bay,1
Mugla Province,1
Bird Island,1
Gulf of Suez,1
Bocas del Toro,1
Kowloon Peninsula,1
Off coast of West Africa,1
Turtle Bogue,1
Salerno Province,1
Ratak ,1
Taranto province,1
St. Thomas Bay,1
35º39 : 165º8',1
Northwest of Papua New Guinea,1
South Devon,1
Munxar Reef,1
Western District,1
Minerva Reef,1
Sucre,1
Viti Levu group,1
Corfu ,1
Line Islands,1
Chungnam,1
Kumamoto Prefecture,1
Moray,1
Tafea Province,1
Mexico / Caribbean Sea,1
330 to 350 miles east of Wake Island,1
Northwest of Viti Levu,1
