Case Number,Date,Year,Country,Area,Fatal (Y/N),Activity,original order
2016.09.18.c,18-Sep-16,2016,USA,Florida,N,Surfing,5993
2016.09.18.b,18-Sep-16,2016,USA,Florida,N,Surfing,5992
2016.09.18.a,18-Sep-16,2016,USA,Florida,N,Surfing,5991
2016.09.17,17-Sep-16,2016,AUSTRALIA,Victoria,N,Surfing,5990
2016.09.15,16-Sep-16,2016,AUSTRALIA,Victoria,N,Surfing,5989
2016.09.15.R,15-Sep-16,2016,AUSTRALIA,Western Australia,N,Fishing,5988
2016.09.11,11-Sep-16,2016,USA,Florida,N,Wading,5987
2016.09.07,07-Sep-16,2016,USA,Hawaii,N,Swimming,5986
2016.09.06,06-Sep-16,2016,NEW CALEDONIA,North Province,Y,Kite surfing,5985
2016.09.05.b,05-Sep-16,2016,USA,South Carolina,N,Boogie boarding,5984
2016.09.05.a,05-Sep-16,2016,AUSTRALIA,Western Australia,N,Surfing,5983
2016.09.04,04-Sep-16,2016,USA,Florida,N,Body boarding,5982
2016.09.01,01-Sep-16,2016,USA,California,N,Spearfishing,5981
2016.08.29.b,29-Aug-16,2016,USA,Florida,N,Surfing,5980
2016.08.29.a,29-Aug-16,2016,USA,Florida,N,Surfing,5979
2016.08.27,27-Aug-16,2016,REUNION,,N,Surfing,5978
2016.08.25,25-Aug-16,2016,USA,Florida,N,Wading,5977
2016.08.07,07-Aug-16,2016,BAHAMAS,New Providence Island,N,Snorkeling,5976
2016.08.06,06-Aug-16,2016,USA,Hawaii,N,SUP Foil boarding,5975
2016.08.04,04-Aug-16,2016,USA,Florida,N,Surfing,5974
2016.07.29,29-Jul-16,2016,SPAIN,Alicante Province,N,Swimming,5973
2016.07.28.R,28-Jul-16,2016,CHINA,Hong Kong,N,Swimming,5972
2016.07.28,28-Jul-16,2016,AUSTRALIA,Western Australia,N,Kayaking,5971
2016.07.27,27-Jul-16,2016,USA,Florida,N,Lobstering,5970
2016.07.26,26-Jul-16,2016,AUSTRALIA,New South Wales,N,Surfing,5969
2016.07.24,24-Jul-16,2016,JAPAN,Kochi Prefecture,N,Surfing,5968
2016.07.23.b,23-Jul-16,2016,AUSTRALIA,Tasmania,N,Surfing,5967
2016.07.23.a,23-Jul-16,2016,BAHAMAS,Abaco Islands,N,Spearfishing,5966
2016.07.20,20-Jul-16,2016,AUSTRALIA,Queensland,N,Fishing,5965
2016.07.17,17-Jul-16,2016,USA,Alabama,N,Fishing in Alabama Deep Fishing Rodeo,5964
2016.07.16.b,16-Jul-16,2016,USA,Florida,N,Surfing,5963
2016.07.16.a,16-Jul-16,2016,USA,Florida,N,,5962
2016.07.15,15-Jul-16,2016,USA,South Carolina,N,Swimming,5961
2016.07.14.4,Reported  14-Jul-2016,2016,BAHAMAS,,N,Scuba Diving,5960
2016.07.08.R,Reported 08-Jul-2016,2016,SPAIN,Canary Islands,N,Wading,5959
2016.07.08,08-Jul-16,2016,USA,California,N,Fishing for squid,5958
2016.07.07.b,07-Jul-16,2016,USA,Massachusetts,N,Fishing,5957
2016.07.07.a,07-Jul-16,2016,USA,California,N,Fishing for sharks,5956
2016.07.06,06-Jul-16,2016,USA,Florida,N,Swimming,5955
2016.07.04,04-Jul-16,2016,AUSTRALIA,Queensland,N,Fishing,5954
2016.06.27,27-Jun-16,2016,USA,South Carolina,N,,5953
2016.06.25,25-Jun-16,2016,USA,North Carolina,N,Surfing,5952
2016.06.24,24-Jun-16,2016,COLUMBIA,Isla Provedencia,N,Scuba Diving,5951
2016.06.23,23-Jun-16,2016,SOUTH AFRICA,Western Cape Province,N,Spearfishing,5950
2016.06.21.b,21-Jun-16,2016,USA,South Carolina,N,Floating,5949
2016.06.21.a,21-Jun-16,2016,USA,Florida,N,Wading,5948
2016.06.15.b,15-Jun-16,2016,USA,Hawaii,N,Surfing,5947
2016.06.15.a,15-Jun-16,2016,AUSTRALIA,Western Australia,N,Spearfishing,5946
2016.06.14,14-Jun-16,2016,USA,Texas,N,Floating in tube,5945
2016.06.11,11-Jun-16,2016,USA,North Carolina,N,Standing,5944
2016.06.07,07-Jun-16,2016,USA,South Carolina,N,Surfing,5943
2016.06.05.b,05-Jun-16,2016,USA,Florida,N,Swimming,5942
2016.06.05.a,05-Jun-16,2016,AUSTRALIA,Western Australia,Y,Diving,5941
2016.06.04,04-Jun-16,2016,EGYPT,Suez,N,Swimming,5940
2016.06.02.b,02-Jun-16,2016,AUSTRALIA,New South Wales,,Spearfishing,5939
2016.06.02.a,02-Jun-16,2016,NEW CALEDONIA,,N,Kite surfing,5938
2016.05.31,31-May-16,2016,AUSTRALIA,Western Australia,Y,Surfing,5937
2016.05.29.b,29-May-16,2016,USA,California,N,Swimming,5936
2016.05.29.a,29-May-16,2016,USA,Florida,N,Swimming,5935
2016.05.22,22-May-16,2016,USA,Florida,N,Swimming,5934
2016.05.21.b,21-May-16,2016,USA,Florida,N,Swimming,5933
2016.05.21.a,21-May-16,2016,USA,Florida,N,Swimming,5932
2016.05.18,18-May-16,2016,USA,Florida,N,Swimming,5931
2016.05.15,15-May-16,2016,USA,Florida,N,Teasing a shark,5930
2016.05.03,03-May-16,2016,USA,Hawaii,N,Floating,5929
2016.05.02,02-May-16,2016,NEW ZEALAND,North Island,N,Fishing,5928
2016.04.25,25-Apr-16,2016,INDONESIA,Bali,N,Surfing,5927
2016.04.23,23-Apr-16,2016,USA,Florida,N,Surfing,5926
2016.04.22,22-Apr-16,2016,SOUTH AFRICA,Western Cape Province,N,Surf-skiing,5925
2016.04.19,19-Apr-16,2016,AUSTRALIA,New South Wales,N,Swimming,5924
2016.04.18,18-Apr-16,2016,FRENCH POLYNESIA,Tuamotos,N,Spearfishing,5923
2016.04.13,13-Apr-16,2016,USA,Florida,N,Spearfishing,5922
2016.04.09,09-Apr-16,2016,NEW CALEDONIA,Grand Terre,Y,Walking,5921
2016.04.08,08-Apr-16,2016,CAPE VERDE,Boa Vista Island,N,,5920
2016.04.07.b,07-Apr-16,2016,USA,Florida,N,Fishing,5919
2016.04.07.a,07-Apr-16,2016,USA,Florida,N,SUP,5918
2016.03.31,31-Mar-16,2016,USA,Hawaii,N,Snorkeling,5917
2016.03.30,30-Mar-16,2016,AUSTRALIA,New South Wales,N,Surfing,5916
2016.03.28.b,28-Mar-16,2016,USA,Florida,N,,5915
2016.03.28.a,28-Mar-16,2016,AUSTRALIA,New South Wales,N,Surfing,5914
2016.03.26,26-Mar-16,2016,BAHAMAS,,N,,5913
2016.03.13,13-Mar-16,2016,USA,California,N,Surfing,5912
2016.03.11,11-Mar-16,2016,USA,Florida,N,Body surfing,5911
2016.03.10,10-Mar-16,2016,Fiji,Vanua Levu,Y,Diving for beche-de-mer,5910
2016.03.04,04-Mar-16,2016,USA,Florida,N,,5909
2016.03.03.R,Reported 03-Mar-2016,2016,AUSTRALIA,South Australia,N,Fishing,5908
2016.03.02,02-Mar-16,2016,BRAZIL,Santa Catarina State,N,Swimming,5907
2016.02.22,22-Feb-16,2016,NEW CALEDONIA,South Province,N,Kite surfing,5906
2016.02.19, 19-Feb-2016,2016,NEW CALEDONIA,South Province,N,Spearfishing,5905
2016.02.12,12-Feb-16,2016,DOMINICAN REPUBLIC,Altagracia Province,N,Wading,5904
2016.02.10.R,Reported 10-Feb-2016,2016,CAYMAN ISLANDS,Grand Cayman,N,Feeding stingrays?,5903
2016.02.10,10-Feb-16,2016,AUSTRALIA,Tasmania,N,Surfing,5902
2016.02.05,05-Feb-16,2016,AUSTRALIA,Queensland,N,Walking,5901
2016.02.04,04-Feb-16,2016,AUSTRALIA,New South Wales,N,Windsurfing,5900
2016.01.29,29-Jan-16,2016,SOUTH AFRICA,KwaZulu-Natal,N,Kayak fishing,5899
2016.01.28,28-Jan-16,2016,USA,Hawaii,N,Surfing,5898
2016.01.25,25-Jan-16,2016,USA,Hawaii,N,Surfing,5897
2016.01.24.b,24-Jan-16,2016,USA,Texas,N,Spearfishing,5896
2016.01.24.a,24-Jan-16,2016,UNITED ARAB EMIRATES,Fujairah Emirate,N,Fishing,5895
