Case Number,Year,Country,Area
2016.09.18.c,2016,USA,Florida
2016.09.18.b,2016,USA,Florida
2016.09.18.a,2016,USA,Florida
2016.09.17,2016,AUSTRALIA,Victoria
2016.09.15,2016,AUSTRALIA,Victoria
2016.09.15.R,2016,AUSTRALIA,Western Australia
2016.09.11,2016,USA,Florida
2016.09.07,2016,USA,Hawaii
2016.09.06,2016,NEW CALEDONIA,North Province
2016.09.05.b,2016,USA,South Carolina
2016.09.05.a,2016,AUSTRALIA,Western Australia
2016.09.04,2016,USA,Florida
2016.09.01,2016,USA,California
2016.08.29.b,2016,USA,Florida
2016.08.29.a,2016,USA,Florida
2016.08.27,2016,REUNION,
2016.08.25,2016,USA,Florida
2016.08.07,2016,BAHAMAS,New Providence Island
2016.08.06,2016,USA,Hawaii
2016.08.04,2016,USA,Florida
2016.07.29,2016,SPAIN,Alicante Province
2016.07.28.R,2016,CHINA,Hong Kong
2016.07.28,2016,AUSTRALIA,Western Australia
2016.07.27,2016,USA,Florida
2016.07.26,2016,AUSTRALIA,New South Wales
2016.07.24,2016,JAPAN,Kochi Prefecture
2016.07.23.b,2016,AUSTRALIA,Tasmania
2016.07.23.a,2016,BAHAMAS,Abaco Islands
2016.07.20,2016,AUSTRALIA,Queensland
2016.07.17,2016,USA,Alabama
2016.07.16.b,2016,USA,Florida
2016.07.16.a,2016,USA,Florida
2016.07.15,2016,USA,South Carolina
2016.07.14.4,2016,BAHAMAS,
2016.07.08.R,2016,SPAIN,Canary Islands
2016.07.08,2016,USA,California
2016.07.07.b,2016,USA,Massachusetts
2016.07.07.a,2016,USA,California
2016.07.06,2016,USA,Florida
2016.07.04,2016,AUSTRALIA,Queensland
2016.06.27,2016,USA,South Carolina
2016.06.25,2016,USA,North Carolina
2016.06.24,2016,COLUMBIA,Isla Provedencia
2016.06.23,2016,SOUTH AFRICA,Western Cape Province
2016.06.21.b,2016,USA,South Carolina
2016.06.21.a,2016,USA,Florida
2016.06.15.b,2016,USA,Hawaii
2016.06.15.a,2016,AUSTRALIA,Western Australia
2016.06.14,2016,USA,Texas
2016.06.11,2016,USA,North Carolina
2016.06.07,2016,USA,South Carolina
2016.06.05.b,2016,USA,Florida
2016.06.05.a,2016,AUSTRALIA,Western Australia
2016.06.04,2016,EGYPT,Suez
2016.06.02.b,2016,AUSTRALIA,New South Wales
2016.06.02.a,2016,NEW CALEDONIA,
2016.05.31,2016,AUSTRALIA,Western Australia
2016.05.29.b,2016,USA,California
2016.05.29.a,2016,USA,Florida
2016.05.22,2016,USA,Florida
2016.05.21.b,2016,USA,Florida
2016.05.21.a,2016,USA,Florida
2016.05.18,2016,USA,Florida
2016.05.15,2016,USA,Florida
2016.05.03,2016,USA,Hawaii
2016.05.02,2016,NEW ZEALAND,North Island
2016.04.25,2016,INDONESIA,Bali
2016.04.23,2016,USA,Florida
2016.04.22,2016,SOUTH AFRICA,Western Cape Province
2016.04.19,2016,AUSTRALIA,New South Wales
2016.04.18,2016,FRENCH POLYNESIA,Tuamotos
2016.04.13,2016,USA,Florida
2016.04.09,2016,NEW CALEDONIA,Grand Terre
2016.04.08,2016,CAPE VERDE,Boa Vista Island
2016.04.07.b,2016,USA,Florida
2016.04.07.a,2016,USA,Florida
2016.03.31,2016,USA,Hawaii
2016.03.30,2016,AUSTRALIA,New South Wales
2016.03.28.b,2016,USA,Florida
2016.03.28.a,2016,AUSTRALIA,New South Wales
2016.03.26,2016,BAHAMAS,
2016.03.13,2016,USA,California
2016.03.11,2016,USA,Florida
2016.03.10,2016,Fiji,Vanua Levu
2016.03.04,2016,USA,Florida
2016.03.03.R,2016,AUSTRALIA,South Australia
2016.03.02,2016,BRAZIL,Santa Catarina State
2016.02.22,2016,NEW CALEDONIA,South Province
2016.02.19,2016,NEW CALEDONIA,South Province
2016.02.12,2016,DOMINICAN REPUBLIC,Altagracia Province
2016.02.10.R,2016,CAYMAN ISLANDS,Grand Cayman
2016.02.10,2016,AUSTRALIA,Tasmania
2016.02.05,2016,AUSTRALIA,Queensland
2016.02.04,2016,AUSTRALIA,New South Wales
2016.01.29,2016,SOUTH AFRICA,KwaZulu-Natal
2016.01.28,2016,USA,Hawaii
2016.01.25,2016,USA,Hawaii
2016.01.24.b,2016,USA,Texas
2016.01.24.a,2016,UNITED ARAB EMIRATES,Fujairah Emirate
2016.01.23,2016,USA,Hawaii
2016.01.11.R,2016,AUSTRALIA,Queensland
2016.01.05,2016,AUSTRALIA,Queensland
2016.01.02,2016,AUSTRALIA,Queensland
2015.12.26,2015,SOUTH AFRICA,KwaZulu-Natal
2015.12.25,2015,SPAIN,Grand Canary Island
2015.12.22,2015,USA,Hawaii
2015.12.21.b,2015,AUSTRALIA,New South Wales
