Swimming,972
Surfing,904
Fishing,414
Spearfishing,321
Wading,144
Diving,123
Standing,97
Snorkeling,77
Scuba diving,74
Body boarding,54
Body surfing,48
Swimming ,47
Pearl diving,32
Treading water,32
Kayaking,28
Boogie boarding,28
Free diving,26
Fell overboard,21
Windsurfing,18
Boogie Boarding,16
Shark fishing,15
Walking,15
Fishing ,12
Surf-skiing,12
Surf skiing,12
Floating,12
Canoeing,12
Rowing,12
Surf fishing,11
Fishing for sharks,11
Kayak Fishing,10
Freediving,10
Sponge diving,10
Diving for trochus,9
Sailing,9
Sitting on surfboard,9
Sea disaster,8
Fell into the water,8
Floating on his back,7
Free diving for abalone,7
Paddle boarding,7
Skindiving,7
Spearfishing ,7
Boating,7
Surfing (sitting on his board),7
Diving for abalone,7
Playing,7
Spearfishing on Scuba,6
Fishing for mackerel,6
Kite Surfing,6
Surf skiing ,6
Murder,6
Sea Disaster,6
Freedom swimming,5
Paddleskiing,5
Fishing on a boat,5
Hard hat diving,5
Shipwreck,5
Dangling feet in the water,5
Boat,5
Jumping,4
Body-boarding,4
Fishing boat,4
Freedom Swimming,4
Stand-Up Paddleboarding,4
Splashing,4
Scuba diving (but on surface),4
Wade Fishing,4
Paddling on surfboard,4
Spearfishing / free diving,4
Skin diving,4
Clamming,4
Jumped into the water,4
Scuba diving (submerged),4
Seine netting,4
Lifesaving drill,4
Diving for coins,4
Scuba Diving,3
Playing in the surf,3
SCUBA diving,3
Scuba diving for abalone,3
Escaping from Alacatraz,3
Crabbing,3
Jumped overboard,3
Free diving & spearfishing,3
Fishing for snapper,3
Standing in knee-deep water,3
Tagging sharks,3
Wade fishing,3
Feeding fish,3
"Surfing, paddling seawards",3
Shell diving,3
Competing in the Woodvale Atlantic Rowing Race,3
Body Boarding,3
.,3
Surfing ,3
boat capsized,3
Kayaking / Fishing,3
Crayfishing,3
"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",3
Fishing for kob,3
Sculling,3
Fishing for bluefish,3
Boat swamped,3
Wreck of the schooner Pohoiki ,3
Wade-fishing,3
Unknown,3
Spearing fish,3
Shark watching,3
Sitting on gunwale of boat,3
Kite surfing,3
Floating on a raft,3
Spearfishing (free diving),3
Spearfishing / Scuba diving (at surface),3
Walking out of the water after surfing,3
Hookah diving for abalone,3
Diving ,3
Diving for sponges,3
Netting shrimp,2
Hoisting shark aboard fishing boat,2
Diving from canoe,2
Air disaster,2
Kite boarding,2
Shark diving,2
"Swimming, ducking for shells in water 0.9 m deep",2
Boat with 5 men capsized while returning to the Amerique,2
Kite Boarding,2
Diving around anchored liner,2
Bathing in river,2
Jumped overboard ,2
Diving into water,2
Diving?,2
Diving for crayfish,2
Standing ,2
Teasing a shark,2
Air Disaster,2
Shooting sharks ,2
"Boat capsized, swimming ashore",2
Surfing (lying prone on his board),2
Suicide,2
Swimming / snorkeling,2
Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,2
Floating on back,2
Free-diving,2
Diving for lobsters,2
fishing boat exploded & sank,2
Diving off jetty,2
Swimming or surfing,2
Scuba diving & spearfishing,2
"Free diving, Spearfishing",2
Rowing ,2
Kitesurfing,2
Spearfishing / Free diving,2
Swimming after his hat,2
Paddling,2
Swimming from the New Venture ,2
Dived for a coin,2
Beach seine netting,2
Swimming / Wading,2
Transatlantic Rowing,2
Floating in inner tube,2
Fishing from surf ski,2
Swimming ashore from capsized boat,2
Diving for beche-de-mer ,2
Washing,2
Fishing (Seining),2
Fishing for prawns,2
Standing in waist-deep water,2
Launching rowboat through the surf,2
"""Flying Tiger"" transport plane went down with 5 men onboard",2
Sitting in the water,2
Fishing for whiting,2
U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,2
Spearfishing Competition,2
Bathing ,2
HMAS Parramatta torpedoed & sunk by the U-559,2
Ocean racing,2
Kayak fishing,2
Diving for trochus shell,2
Body surfing / treading water,2
Washing his feet,2
"Surfing, collided with shark",2
Kayaking ,2
Fishing for lobsters,2
Swimming alongside NOAA research vessel Discoverer,2
Fishing for cod,2
Kiteboarding,2
Thrown overboard,2
Shark tagging,2
Sitting in shallows,2
Collecting shells,2
Splashing ,2
Attempting to kill a shark with explosives,2
Aircraft crashed into sea,2
Cruising,2
"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",2
Diving for beche-de-mer,2
Standing / Surfing,2
Hookah diving for sea urchins,2
Playing in the water,2
Fishing for tuna,2
Spearfishing / Scuba diving,2
Free diving / Spearfishing,2
Spearfishing using Scuba,2
Knocked overboard,2
Jet skiing,2
Swimming near jetty,2
"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",2
Free diving / spearfishing,2
Swimming / escaping imprisonment ,2
Fishing for squid,2
Finning the shark that bit him,2
"3,909-ton Panamanian freighter Chieh Lee sank in a typhoon",1
Fishing for the shark that killed George Lundberg,1
Diving for trepang,1
Surfing amid a shoal of sharks,1
Splashing in water ,1
The cutter yacht Cutty Sark sank,1
U.S. Airforce crewman reported missing after bailing out of jet,1
Floating on his back in an inner tube,1
Adrift on life raft,1
Picking up shark by the tail,1
"Sailing from Gingood, Misamis Oriental to Sagay (normally a 2-day voyage) capsized with 6 on board, three men were taken by sharks when they attempted to swim to shore.",1
"Fishing, sitting in stern of small boat, feet dangling in the water",1
In waist-deep water,1
