year,N,Y,total,N%,Y%
1920,1,13,14,7.142857142857142,92.85714285714286
1921,2,7,9,22.22222222222222,77.77777777777779
1922,3,18,21,14.285714285714285,85.71428571428571
1923,1,18,19,5.263157894736842,94.73684210526315
1924,1,18,19,5.263157894736842,94.73684210526315
1925,2,8,10,20.0,80.0
1926,3,16,19,15.789473684210526,84.21052631578947
1927,1,17,18,5.555555555555555,94.44444444444444
1928,0,21,21,0.0,100.0
1929,2,31,33,6.0606060606060606,93.93939393939394
1930,3,18,21,14.285714285714285,85.71428571428571
1931,1,23,24,4.166666666666666,95.83333333333334
1932,2,21,23,8.695652173913043,91.30434782608695
1933,2,18,20,10.0,90.0
1934,5,22,27,18.51851851851852,81.48148148148148
1935,1,25,26,3.8461538461538463,96.15384615384616
1936,1,29,30,3.3333333333333335,96.66666666666667
1937,4,23,27,14.814814814814813,85.18518518518519
1938,6,18,24,25.0,75.0
1939,4,16,20,20.0,80.0
1940,1,21,22,4.545454545454546,95.45454545454545
1941,7,17,24,29.166666666666668,70.83333333333334
1942,8,24,32,25.0,75.0
1943,6,20,26,23.076923076923077,76.92307692307693
1944,4,22,26,15.384615384615385,84.61538461538461
1945,4,10,14,28.57142857142857,71.42857142857143
1946,5,17,22,22.727272727272727,77.27272727272727
1947,2,26,28,7.142857142857142,92.85714285714286
1948,4,21,25,16.0,84.0
1949,2,23,25,8.0,92.0
1950,7,34,41,17.073170731707318,82.92682926829268
1951,2,25,27,7.4074074074074066,92.5925925925926
1952,6,22,28,21.428571428571427,78.57142857142857
1953,2,30,32,6.25,93.75
1954,8,25,33,24.242424242424242,75.75757575757575
1955,9,30,39,23.076923076923077,76.92307692307693
1956,9,37,46,19.565217391304348,80.43478260869566
1957,1,33,34,2.941176470588235,97.05882352941177
1958,5,42,47,10.638297872340425,89.36170212765957
1959,8,73,81,9.876543209876543,90.12345679012346
1960,16,68,84,19.047619047619047,80.95238095238095
1961,11,61,72,15.277777777777779,84.72222222222221
1962,7,70,77,9.090909090909092,90.9090909090909
1963,7,51,58,12.068965517241379,87.93103448275862
1964,5,57,62,8.064516129032258,91.93548387096774
1965,6,40,46,13.043478260869565,86.95652173913044
1966,8,47,55,14.545454545454545,85.45454545454545
1967,4,35,39,10.256410256410255,89.74358974358975
1968,3,34,37,8.108108108108109,91.8918918918919
1969,1,21,22,4.545454545454546,95.45454545454545
1970,12,24,36,33.33333333333333,66.66666666666666
1971,3,18,21,14.285714285714285,85.71428571428571
1972,3,26,29,10.344827586206897,89.65517241379311
1973,2,20,22,9.090909090909092,90.9090909090909
1974,1,34,35,2.857142857142857,97.14285714285714
1975,2,40,42,4.761904761904762,95.23809523809523
1976,0,33,33,0.0,100.0
1977,0,22,22,0.0,100.0
1978,3,18,21,14.285714285714285,85.71428571428571
1979,3,19,22,13.636363636363635,86.36363636363636
1980,3,31,34,8.823529411764707,91.17647058823529
1981,5,41,46,10.869565217391305,89.13043478260869
1982,2,33,35,5.714285714285714,94.28571428571428
1983,1,43,44,2.272727272727273,97.72727272727273
1984,3,35,38,7.894736842105263,92.10526315789474
1985,0,34,34,0.0,100.0
1986,1,34,35,2.857142857142857,97.14285714285714
1987,3,28,31,9.67741935483871,90.32258064516128
1988,2,49,51,3.9215686274509802,96.07843137254902
1989,0,50,50,0.0,100.0
1990,0,37,37,0.0,100.0
1991,0,37,37,0.0,100.0
1992,2,51,53,3.7735849056603774,96.22641509433963
1993,8,44,52,15.384615384615385,84.61538461538461
1994,2,50,52,3.8461538461538463,96.15384615384616
1995,3,65,68,4.411764705882353,95.58823529411765
1996,5,48,53,9.433962264150944,90.56603773584906
1997,1,53,54,1.8518518518518516,98.14814814814815
1998,1,62,63,1.5873015873015872,98.4126984126984
1999,5,59,64,7.8125,92.1875
2000,9,82,91,9.89010989010989,90.10989010989012
2001,4,79,83,4.819277108433735,95.18072289156626
2002,4,81,85,4.705882352941177,95.29411764705881
2003,2,87,89,2.247191011235955,97.75280898876404
2004,6,83,89,6.741573033707865,93.25842696629213
2005,11,86,97,11.34020618556701,88.65979381443299
2006,3,94,97,3.0927835051546393,96.90721649484536
2007,8,103,111,7.207207207207207,92.7927927927928
2008,4,112,116,3.4482758620689653,96.55172413793103
2009,13,102,115,11.304347826086957,88.69565217391305
2010,14,84,98,14.285714285714285,85.71428571428571
2011,19,104,123,15.447154471544716,84.5528455284553
2012,7,105,112,6.25,93.75
2013,9,105,114,7.894736842105263,92.10526315789474
2014,5,114,119,4.201680672268908,95.7983193277311
2015,4,129,133,3.007518796992481,96.99248120300751
2016,6,90,96,6.25,93.75
