,animal_id_outcome,outcome_type,age_upon_outcome_years,animal_type,breed,Mix,fotos,bins
13,A208755,Euthanasia,14.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,10-19
33,A251095,Euthanasia,14.0,Dog,collie,False,https://dog.ceo/api/breed/Border Collie/images/random,10-19
56,A283735,Euthanasia,13.0,Dog,doberman,True,https://dog.ceo/api/breed/Doberman Pinsch Mix/images/random,10-19
73,A298677,Euthanasia,13.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
80,A305674,Euthanasia,12.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,10-19
99,A318615,Euthanasia,14.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
174,A358879,Euthanasia,13.0,Dog,germanshepherd,False,https://dog.ceo/api/breed/German Shepherd/images/random,10-19
186,A367012,Euthanasia,11.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
294,A427866,Euthanasia,8.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,6-10
418,A464652,Euthanasia,11.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,10-19
434,A467387,Euthanasia,9.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,6-10
470,A476706,Euthanasia,8.0,Dog,doberman,True,https://dog.ceo/api/breed/Doberman Pinsch Mix/images/random,6-10
518,A489376,Euthanasia,11.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,10-19
531,A491810,Euthanasia,8.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,6-10
592,A503376,Euthanasia,7.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,6-10
882,A540495,Euthanasia,5.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,2-5
1090,A558566,Euthanasia,5.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
1137,A562220,Euthanasia,5.0,Dog,bulldog,True,https://dog.ceo/api/breed/Bulldog/Pit Bull/images/random,2-5
1143,A562649,Euthanasia,14.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,10-19
