,MouseID,pCAMKII_N,pPKCG_N,S6_N,ARC_N,GluR3_N,GluR4_N,P3525_N,pS6_N,CaNA_N,Genotype,Treatment,Behavior,class,Treatment information,Measurement,Subject
0,309_1,Very Low,Low,Low,Low,Moderate,High,Low,Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",1,309
1,309_2,Very Low,Low,Low,Low,Moderate,Moderate,Low,Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",2,309
2,309_3,Very Low,Low,Low,Low,High,High,Low,Low,Very High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",3,309
3,309_4,Very Low,Low,Low,Low,Moderate,High,Low,Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",4,309
4,309_5,Very Low,Low,Low,Low,High,Moderate,Low,Low,Very High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",5,309
5,309_6,Very Low,Low,Low,Low,Moderate,Moderate,Low,Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",6,309
6,309_7,Very Low,Moderate,Very Low,Very Low,Moderate,High,Very Low,Very Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",7,309
7,309_8,Very Low,Moderate,Low,Low,High,Moderate,Very Low,Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",8,309
8,309_9,Very Low,Moderate,Low,Low,Moderate,Moderate,Very Low,Low,Very High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",9,309
9,309_10,Very Low,Moderate,Very Low,Very Low,Moderate,High,Low,Very Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",10,309
10,309_11,Very Low,Moderate,Low,Very Low,Moderate,Moderate,Low,Very Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",11,309
11,309_12,Very Low,Moderate,Low,Very Low,Moderate,Moderate,Low,Very Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",12,309
12,309_13,Very Low,Moderate,Very Low,Very Low,Moderate,Moderate,Moderate,Very Low,Moderate,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",13,309
13,309_14,Very Low,Moderate,Very Low,Very Low,High,Moderate,Low,Very Low,Moderate,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",14,309
14,309_15,Very Low,Moderate,Low,Low,Moderate,Moderate,Low,Low,High,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",15,309
15,311_1,Very Low,Very Low,Low,High,Moderate,Moderate,Very Low,High,Moderate,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",1,311
16,311_2,Very Low,Very Low,Low,Low,Moderate,Moderate,Very Low,Low,Moderate,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",2,311
