,MouseID,pCAMKII_N,pPKCG_N,S6_N,ARC_N,GluR3_N,GluR4_N,P3525_N,pS6_N,CaNA_N,Genotype,Treatment,Behavior,class,Treatment information,Measurement,Subject
0,309_1,2.3737443369999998,1.443090669,0.354604528,0.106305209,0.228043456,0.14275561,0.24753782100000002,0.106305209,1.67565235,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",1,309
1,309_2,2.292149909,1.439459795,0.354548277,0.106592156,0.238073062,0.142036635,0.257632205,0.106592156,1.743609645,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",2,309
2,309_3,2.283336522,1.52436418,0.386086771,0.108303056,0.24481726899999998,0.142444967,0.255343022,0.108303056,1.926426587,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",3,309
3,309_4,2.152300801,1.612382051,0.290679519,0.103183762,0.234946711,0.145068223,0.251103116,0.103183762,1.700563438,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",4,309
4,309_5,2.134013697,1.6458072590000001,0.309345015,0.10478375699999999,0.25552774300000003,0.14087053300000002,0.25177305,0.10478375699999999,1.8397302180000001,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",5,309
5,309_6,2.14128243,1.634615385,0.332367081,0.106476244,0.23684954800000002,0.13645362,0.244485294,0.106476244,1.816388575,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",6,309
6,309_7,2.012413576,1.773845525,0.26685737600000003,0.097834083,0.22451982,0.144830405,0.238005721,0.097834083,1.5284838580000002,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",7,309
7,309_8,2.007985258,1.795780591,0.288607595,0.09949367099999999,0.24683544300000002,0.13443038,0.24143459899999997,0.09949367099999999,1.6526582280000002,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",8,309
8,309_9,1.861513921,1.805248619,0.294112569,0.105145028,0.233857044,0.132596685,0.236015193,0.105145028,1.834599448,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",9,309
9,309_10,1.7178607469999998,1.9265962230000002,0.24977518,0.09330036,0.224145683,0.148156475,0.244829137,0.09330036,1.5168615109999999,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",10,309
10,309_11,1.7245084130000001,1.902901531,0.275416952,0.094356865,0.23554946300000001,0.134110121,0.250628284,0.094356865,1.6135480919999998,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",11,309
11,309_12,1.672555948,2.001656021,0.287319612,0.09841495199999999,0.236337828,0.141116631,0.249704282,0.09841495199999999,1.722971374,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",12,309
12,309_13,1.5086874609999998,1.904005525,0.244889503,0.09765193400000001,0.223480663,0.14198895,0.27762430899999996,0.09765193400000001,1.426933702,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",13,309
13,309_14,1.50900233,1.972577697,0.25495710899999996,0.094642104,0.24483195,0.136127127,0.252003938,0.094642104,1.500070314,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",14,309
14,309_15,1.4442390630000002,1.9594555869999999,0.269770774,0.099140401,0.23724928399999998,0.136962751,0.249283668,0.099140401,1.6138968480000002,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",15,309
15,311_1,2.277491535,0.94272786,0.294117647,0.13865546199999998,0.233548804,0.132579186,0.233484163,0.13865546199999998,1.297220427,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",1,311
16,311_2,2.118810512,0.9633887040000001,0.380730897,0.11136212599999999,0.23382059800000002,0.129568106,0.23514950199999998,0.11136212599999999,1.363189369,Control,Memantine,C/S,c-CS-m,"Memantine is a medication used to treat moderate to severe Alzheimer's disease. It is less preferred than acetylcholinesterase inhibitors such as donepezil. Treatment should only be continued if beneficial effects are seen. It is taken by mouth.Common side effects include headache, constipation, sleepiness, and dizziness. Severe side effects may include blood clots, psychosis, and heart failure. It is believed to work by blocking NMDA receptors.Memantine was approved for medical use in the United States in 2003. It is available as a generic medication. A month supply in the United Kingdom costs the NHS about 1.60 GBP as of 2019. In the United States the wholesale cost of this amount is about US$5.50. In 2016 it was the 147th most prescribed medication in the United States with more than 4 million prescriptions.",2,311
