,id,date,time,lat,long,city,area,richter,year,coords,city2
1,20100000000000.0,2007.08.01,12:03:08 AM,40.79,30.09,kocaeli,bayraktar_izmit,4.0,2007,"(40.79, 30.09)",kosekoy
6,20100000000000.0,2012.06.24,12:07:22 AM,38.75,43.61,van,ilikaynak,4.5,2012,"(38.75, 43.61)",ozalp
9,20100000000000.0,2011.10.28,12:47:56 AM,38.76,43.54,van,degirmenozu,4.2,2011,"(38.76, 43.54)",van
10,20100000000000.0,2013.05.01,12:47:56 AM,37.31,37.11,kahramanmaras,ordekdede_pazarcik,3.5,2013,"(37.31, 37.11)",pazarck
15,20100000000000.0,2011.05.22,12:49:49 AM,39.13,29.04,kutahya,kapikaya_simav,3.9,2011,"(39.13, 29.04)",simav
19,20100000000000.0,2005.07.24,12:36:10 AM,36.96,36.03,hatay,turunclu_erzin,4.1,2005,"(36.96, 36.03)",erzin
39,20100000000000.0,2008.03.29,12:12:30 AM,40.61,34.76,corum,erdek,4.5,2008,"(40.61, 34.76)",corum
40,20100000000000.0,2012.04.11,12:49:32 AM,39.49,27.98,balikesir,ciftlikkoy,3.9,2012,"(39.49, 27.98)",bigadic
41,20100000000000.0,2012.05.04,12:38:14 AM,40.31,27.0,canakkale,disbudak_lapseki,4.3,2012,"(40.31, 27.0)",biga
56,20100000000000.0,2007.02.15,12:49:15 AM,38.8,40.07,elazig,karasungur_kovancilar,3.7,2007,"(38.8, 40.07)",karakocan
57,20200000000000.0,2017.02.06,12:03:32 AM,39.53,26.12,canakkale,gulpinar_ayvacik,3.6,2017,"(39.53, 26.12)",ayvack
60,20100000000000.0,2006.07.19,12:26:19 AM,38.35,39.08,elazig,doganbagi_sivrice,3.8,2006,"(38.35, 39.08)",doganyol
61,20100000000000.0,2014.10.21,12:03:56 AM,38.18,27.11,izmir,sasal_menderes,4.1,2014,"(38.18, 27.11)",menderes
72,20100000000000.0,2005.08.29,12:33:48 AM,40.52,36.83,tokat,mercimekduzu_niksar,4.2,2005,"(40.52, 36.83)",niksar
73,20100000000000.0,2008.07.12,12:54:03 AM,39.28,41.72,erzurum,catak_hinis,4.0,2008,"(39.28, 41.72)",hns
74,20100000000000.0,2011.11.06,12:30:54 AM,38.74,43.45,van,yemlice,3.9,2011,"(38.74, 43.45)",van
75,20100000000000.0,2013.08.31,12:49:43 AM,39.4,28.23,balikesir,durasilar_bigadic,3.6,2013,"(39.4, 28.23)",bigadic
76,20200000000000.0,2017.02.28,12:26:40 AM,39.48,26.06,canakkale,babakale_ayvacik,3.5,2017,"(39.48, 26.06)",ayvack
88,20000000000000.0,2003.09.01,12:43:09 AM,40.9,32.42,karabuk,kabaarmut_eskipazar,3.7,2003,"(40.9, 32.42)",gozyeri
90,20100000000000.0,2011.05.21,12:43:08 AM,39.1,29.03,kutahya,gokceler_simav,3.8,2011,"(39.1, 29.03)",simav
91,20100000000000.0,2011.10.24,12:06:31 AM,38.91,43.66,van,ovapinar_muradiye,3.5,2011,"(38.91, 43.66)",ercis
92,20100000000000.0,2011.11.24,12:56:00 AM,38.98,43.58,van,unseli_muradiye,3.7,2011,"(38.98, 43.58)",ercis
93,20100000000000.0,2012.10.30,12:48:14 AM,37.31,37.13,kahramanmaras,hanobasi_pazarcik,3.6,2012,"(37.31, 37.13)",pazarck
94,20200000000000.0,2017.07.15,12:00:31 AM,38.17,43.23,van,boyunpinar_catak,3.3,2017,"(38.17, 43.23)",gevas
100,20000000000000.0,2004.02.07,12:53:16 AM,39.88,29.21,bursa,alpagut_keles,3.5,2004,"(39.88, 29.21)",orhaneli
101,20100000000000.0,2007.09.29,12:16:56 AM,39.75,27.75,balikesir,deliklitas,3.6,2007,"(39.75, 27.75)",balkesir
108,20100000000000.0,2011.11.13,12:05:23 AM,38.9,43.58,van,cakirbey,3.5,2011,"(38.9, 43.58)",ercis
109,20100000000000.0,2012.07.22,12:26:03 AM,37.54,36.38,kahramanmaras,gokceli_andirin,5.0,2012,"(37.54, 36.38)",andrn
110,20100000000000.0,2012.10.16,12:25:04 AM,37.31,37.12,kahramanmaras,hanobasi_pazarcik,4.5,2012,"(37.31, 37.12)",pazarck
122,20100000000000.0,2007.10.29,12:58:05 AM,37.4,36.34,kahramanmaras,anacik_andirin,3.5,2007,"(37.4, 36.34)",andrn
123,20100000000000.0,2009.03.09,12:42:30 AM,39.05,32.34,ankara,emirler_haymana,3.7,2009,"(39.05, 32.34)",altpnar
124,20100000000000.0,2011.11.08,12:38:04 AM,38.82,43.66,van,esenkoc_muradiye,3.5,2011,"(38.82, 43.66)",ozalp
125,20100000000000.0,2012.05.03,12:24:15 AM,39.13,29.17,kutahya,inlice_simav,4.0,2012,"(39.13, 29.17)",saphane
126,20100000000000.0,2012.06.15,12:48:16 AM,37.29,42.39,sirnak,ucagac_silopi,4.3,2012,"(37.29, 42.39)",silopi
127,20100000000000.0,2013.11.10,12:09:23 AM,40.76,30.27,sakarya,yukariderekoy_serdivan,3.5,2013,"(40.76, 30.27)",sapanca
128,20200000000000.0,2015.03.28,12:08:16 AM,37.48,36.41,kahramanmaras,bogazoren_andirin,4.1,2015,"(37.48, 36.41)",andrn
133,20100000000000.0,2011.05.29,12:31:40 AM,39.12,29.08,kutahya,sogut_simav,4.6,2011,"(39.12, 29.08)",simav
149,20100000000000.0,2009.11.22,12:01:47 AM,41.32,33.57,kastamonu,nalcikuyucagi,4.5,2009,"(41.32, 33.57)",kastamonu
150,20200000000000.0,2015.03.24,12:09:51 AM,39.33,27.49,manisa,devlethan_soma,3.5,2015,"(39.33, 27.49)",savastepe
151,20200000000000.0,2016.09.04,12:15:41 AM,39.3,36.32,sivas,kizilcakisla_sarkisla,4.1,2016,"(39.3, 36.32)",sarksla
171,20000000000000.0,2003.10.27,12:05:21 AM,37.28,28.2,mugla,akgedik_yatagan,4.0,2003,"(37.28, 28.2)",yatagan
173,20100000000000.0,2006.05.12,12:44:15 AM,37.1,28.06,mugla,dagpinar,3.6,2006,"(37.1, 28.06)",yatagan
174,20100000000000.0,2007.09.25,12:38:09 AM,39.77,27.77,balikesir,yeniiskender,3.6,2007,"(39.77, 27.77)",balkesir
175,20100000000000.0,2011.05.13,12:28:29 AM,40.78,31.53,bolu,kizilagil,3.9,2011,"(40.78, 31.53)",bolu
176,20100000000000.0,2011.06.27,12:28:51 AM,39.1,29.03,kutahya,gokceler_simav,4.4,2011,"(39.1, 29.03)",simav
177,20200000000000.0,2016.10.15,12:23:24 AM,38.94,27.7,manisa,ballica_akhisar,3.6,2016,"(38.94, 27.7)",akhisar
181,20100000000000.0,2013.09.26,12:55:36 AM,38.84,43.58,van,akcift,4.0,2013,"(38.84, 43.58)",ercis
182,20200000000000.0,2017.04.07,12:22:21 AM,39.55,26.19,canakkale,yukarikoy_ayvacik,3.7,2017,"(39.55, 26.19)",ayvack
192,20100000000000.0,2008.06.03,12:59:22 AM,40.16,26.92,canakkale,ahmetler_biga,4.0,2008,"(40.16, 26.92)",can
