Date,Class,Maximum,Mean,n_Class,n_Maximum,n_Mean,F Month Maximum,F Month Mean,Flare Duration,F Max Duration,F Mean Duration,F Month Max Duration,Flares Number,Spots Number,Std Spots Number,Spots Month Mean
2010-05-01,"['C5.7', 'B1.6', 'B1.0']",C5.7,C1.99,"[570.0, 16.0, 10.0]",570.0,198.67,247.85714285714286,68.855,"['00:09:00', '00:08:00', '00:04:00']",0 days 00:09:00.000000000, 00:07:00, 01:02:47,3,13.0,2.7,23.0
2010-05-02,"['B2.9', 'B3.8', 'B1.1', 'B1.9', 'B1.2', 'B1.4', 'B1.5']",B3.8,B1.97,"[29.0, 38.0, 11.0, 19.0, 12.0, 14.0, 15.0]",38.0,19.71,247.85714285714286,68.855,"['00:06:00', '00:07:00', '00:05:00', '00:07:00', '00:04:00', '00:08:00', '00:16:00']",0 days 00:16:00.000000000, 00:07:34, 01:02:47,7,21.0,5.8,23.0
2010-05-03,"['B2.0', 'B1.5', 'B1.4', 'B1.0']",B2.0,B1.48,"[20.0, 15.0, 14.0, 10.0]",20.0,14.75,247.85714285714286,68.855,"['00:05:00', '00:05:00', '00:07:00', '00:06:00']",0 days 00:07:00.000000000, 00:05:45, 01:02:47,4,40.0,5.4,23.0
2010-05-04,"['B1.7', 'B1.4', 'B1.9', 'B1.3', 'B1.7', 'B2.4', 'C3.6', 'B1.1']",C3.6,B5.94,"[17.0, 14.0, 19.0, 13.0, 17.0, 24.0, 360.0, 11.0]",360.0,59.38,247.85714285714286,68.855,"['00:07:00', '02:25:00', '00:08:00', '00:07:00', '00:05:00', '00:07:00', '00:14:00', '00:08:00']",0 days 02:25:00.000000000, 00:25:07, 01:02:47,8,51.0,5.6,23.0
2010-05-05,"['B1.6', 'C2.3', 'B2.4', 'C8.9', 'B3.4', 'B4.0', 'M1.2', 'B7.3', 'B1.7']",M1.2,C2.80,"[16.0, 230.0, 24.0, 890.0, 34.0, 40.0, 1200.0, 73.0, 17.0]",1200.0,280.44,247.85714285714286,68.855,"['00:16:00', '00:07:00', '00:06:00', '00:21:00', '00:07:00', '00:07:00', '00:09:00', '00:10:00', '02:15:00']",0 days 02:15:00.000000000, 00:24:13, 01:02:47,9,47.0,3.7,23.0
2010-05-06,['B1.4'],B1.4,B1.40,[14.0],14.0,14.0,247.85714285714286,68.855,['00:08:00'],0 days 00:08:00.000000000, 00:08:00, 01:02:47,1,19.0,4.5,23.0
2010-05-07,"['B1.1', 'B1.2', 'C2.0', 'B4.6']",C2.0,B6.72,"[11.0, 12.0, 200.0, 46.0]",200.0,67.25,247.85714285714286,68.855,"['00:06:00', '00:05:00', '00:13:00', '00:08:00']",0 days 00:13:00.000000000, 00:08:00, 01:02:47,4,16.0,4.3,23.0
2010-05-08,"['B2.6', 'B5.8', 'C9.3', 'B1.4', 'B2.1', 'B3.8', 'C1.8', 'B7.2', 'C2.4']",C9.3,C1.75,"[26.0, 58.0, 930.0, 14.0, 21.0, 38.0, 180.0, 72.0, 240.0]",930.0,175.44,247.85714285714286,68.855,"['00:12:00', '00:08:00', '00:08:00', '00:03:00', '00:08:00', '00:12:00', '00:10:00', '00:14:00', '00:07:00']",0 days 00:14:00.000000000, 00:09:06, 01:02:47,9,16.0,6.9,23.0
2010-05-09,"['B1.3', 'B2.1', 'B2.1']",B2.1,B1.83,"[13.0, 21.0, 21.0]",21.0,18.33,247.85714285714286,68.855,"['00:51:00', '01:57:00', '00:54:00']",0 days 01:57:00.000000000, 01:14:00, 01:02:47,3,0.0,2.0,23.0
2010-05-22,['B1.3'],B1.3,B1.30,[13.0],13.0,13.0,247.85714285714286,68.855,['00:08:00'],0 days 00:08:00.000000000, 00:08:00, 01:02:47,1,21.0,0.8,23.0
2010-05-23,"['B1.4', 'B1.4', 'B1.3', 'B1.1']",B1.4,B1.30,"[14.0, 14.0, 13.0, 11.0]",14.0,13.0,247.85714285714286,68.855,"['00:06:00', '03:45:00', '03:16:00', '00:11:00']",0 days 03:45:00.000000000, 01:49:30, 01:02:47,4,22.0,1.3,23.0
