,city,latitude,longitude,name,category_code,number_of_employees,founded_year,geo
0,Seattle,47.603122,-122.333253,Wetpaint,web,47,2005,"{'type': 'Point', 'coordinates': [-122.333253, 47.603122]}"
1,New York,40.7237306,-73.9964312,Wetpaint,web,47,2005,"{'type': 'Point', 'coordinates': [-73.9964312, 40.7237306]}"
2,Menlo Park,37.48413,-122.169472,Gizmoz,web,,2003,"{'type': 'Point', 'coordinates': [-122.169472, 37.48413]}"
3,Los Angeles,34.057498,-118.446596,Helio,mobile,,2005,"{'type': 'Point', 'coordinates': [-118.446596, 34.057498]}"
4,New York City,40.757929,-73.985506,MeetMoi,social,15,2007,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}"
5,New York,40.7464969,-74.0094471,Joost,games_video,0,2006,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7464969]}"
6,San Francisco,37.7768052,-122.4169244,Twitter,social,1300,2006,"{'type': 'Point', 'coordinates': [-122.4169244, 37.7768052]}"
7,London,53.344104,-6.267494,Babelgum,games_video,,2007,"{'type': 'Point', 'coordinates': [-6.267494, 53.344104]}"
8,Menlo Park,37.41605,-122.151801,Facebook,social,5299,2004,"{'type': 'Point', 'coordinates': [-122.151801, 37.41605]}"
9,Dublin,53.344104,-6.267494,Facebook,social,5299,2004,"{'type': 'Point', 'coordinates': [-6.267494, 53.344104]}"
10,New York,40.7557162,-73.9792469,Facebook,social,5299,2004,"{'type': 'Point', 'coordinates': [-73.9792469, 40.7557162]}"
11,Sunnyvale,37.387845,-122.055197,Plaxo,web,50,2002,"{'type': 'Point', 'coordinates': [-122.055197, 37.387845]}"
12,San Francisco,37.778613,-122.395289,Powerset,search,60,2006,"{'type': 'Point', 'coordinates': [-122.395289, 37.778613]}"
13,San Francisco,37.779558,-122.393041,Technorati,advertising,35,2002,"{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}"
14,San Diego,32.902266,-117.20834,Veoh,games_video,,2004,"{'type': 'Point', 'coordinates': [-117.20834, 32.902266]}"
15,San Francisco,37.788482,-122.409173,Kyte,games_video,40,2006,"{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}"
16,Austin,30.268735,-97.745209,Thoof,web,,2006,"{'type': 'Point', 'coordinates': [-97.745209, 30.268735]}"
17,New York,37.480999,-122.173887,Jingle Networks,mobile,35,2005,"{'type': 'Point', 'coordinates': [-122.173887, 37.480999]}"
18,San Francisco,37.793148,-122.402567,Wesabe,web,,2005,"{'type': 'Point', 'coordinates': [-122.402567, 37.793148]}"
19,New York,40.72604,-73.995722,Meetup,web,75,2002,"{'type': 'Point', 'coordinates': [-73.995722, 40.72604]}"
20,Los Angeles,34.051409,-118.254558,Stickam,games_video,35,2006,"{'type': 'Point', 'coordinates': [-118.254558, 34.051409]}"
21,New York,40.726155,-73.995625,Livestream,games_video,120,2007,"{'type': 'Point', 'coordinates': [-73.995625, 40.726155]}"
22,New York,40.722655,-73.99873,Pando Networks,games_video,23,2004,"{'type': 'Point', 'coordinates': [-73.99873, 40.722655]}"
23,Mountain View,37.4233896,-122.0899512,Jajah,mobile,110,2005,"{'type': 'Point', 'coordinates': [-122.0899512, 37.4233896]}"
24,Palo Alto,37.44296,-122.151198,Topix,web,,2002,"{'type': 'Point', 'coordinates': [-122.151198, 37.44296]}"
