,_id,category_code,founded_year,geojson,latitude,longitude,name,number_of_employees,total_money_raised,empresas_cerca
1298,5cd45d120c24ecd1b9ca267a,web,2007,"{'type': 'Point', 'coordinates': [-122.4007791, 37.789902]}",37.789902,-122.4007791,Genbook,12,$2.2M,73
3908,5cd45d120c24ecd1b9ca30ac,cleantech,2005,"{'type': 'Point', 'coordinates': [-122.398669, 37.790153]}",37.790153,-122.398669,GreenVolts,68,$96.8M,73
1841,5cd45d120c24ecd1b9ca2899,software,2007,"{'type': 'Point', 'coordinates': [-122.4007846, 37.7899027]}",37.7899027,-122.4007846,Lyft,180,$82.5M,73
2375,5cd45d120c24ecd1b9ca2aaf,enterprise,2007,"{'type': 'Point', 'coordinates': [-122.4006831, 37.7898499]}",37.7898499,-122.4006831,Twilio,100,$104M,73
1614,5cd45d120c24ecd1b9ca27b6,software,2007,"{'type': 'Point', 'coordinates': [-122.4007846, 37.7899027]}",37.7899027,-122.4007846,Lyft,180,$82.5M,73
2680,5cd45d120c24ecd1b9ca2be0,consulting,2004,"{'type': 'Point', 'coordinates': [-122.4006831, 37.7898499]}",37.7898499,-122.4006831,AMP Consulting,8,$0,73
780,5cd45d120c24ecd1b9ca2474,software,2009,"{'type': 'Point', 'coordinates': [-122.3998782, 37.7896292]}",37.7896292,-122.3998782,Macroaxis,8,$0,71
506,5cd45d120c24ecd1b9ca2362,advertising,2005,"{'type': 'Point', 'coordinates': [-122.40094, 37.790485]}",37.790485,-122.40094,Sportgenic,15,$11.5M,70
72,5cd45d120c24ecd1b9ca21b0,games_video,2003,"{'type': 'Point', 'coordinates': [-122.400558, 37.788668]}",37.788668,-122.400558,hi5,100,$52M,69
966,5cd45d120c24ecd1b9ca252e,advertising,2008,"{'type': 'Point', 'coordinates': [-122.4011706, 37.7911186]}",37.7911186,-122.4011706,Bizo,66,$28.5M,68
1014,5cd45d120c24ecd1b9ca255e,software,2003,"{'type': 'Point', 'coordinates': [-122.40185, 37.790346]}",37.790346,-122.40185,Aruspex,26,$3.77M,68
1478,5cd45d120c24ecd1b9ca272e,enterprise,2002,"{'type': 'Point', 'coordinates': [-122.401241, 37.791648]}",37.791648,-122.401241,LeadGenesys,23,$0,68
294,5cd45d120c24ecd1b9ca228e,web,2006,"{'type': 'Point', 'coordinates': [-122.3991505, 37.7876952]}",37.7876952,-122.3991505,HubPages,21,$8M,68
1450,5cd45d120c24ecd1b9ca2712,news,2008,"{'type': 'Point', 'coordinates': [-122.401942, 37.791068]}",37.791068,-122.401942,Allvoices,10,€3.04M,66
118,5cd45d120c24ecd1b9ca21de,network_hosting,2007,"{'type': 'Point', 'coordinates': [-122.397593, 37.789488]}",37.789488,-122.397593,Zivity,16,$8M,66
1253,5cd45d120c24ecd1b9ca264d,advertising,2007,"{'type': 'Point', 'coordinates': [-122.401942, 37.791068]}",37.791068,-122.401942,Alcance Media Group,12,$0,66
