	price	start_lat	start_lon	end_lat	end_lon	end_state	distance	duration	rating	rider_waiting_time	vehicle_type_id
0	5,866	19.4313629	-99.195362	19.4064378	-99.1752599	drop off	7,943	1,058	9.0	590	077866c3fd1a75f51ca7f8eae166ae32
1	0	19.431566759000003	-99.19536788030001			rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
2	4,000	19.4220518545	-99.17449861760001	19.438666	-99.1808212	drop off	3,054	689	10.0	923	077866c3fd1a75f51ca7f8eae166ae32
3	0	19.4331187103	-99.15484447969999	19.2901477	-99.1444066	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
4	4,000	19.440996018499998	-99.18358124790001	19.4228147	-99.1748655	drop off	2,859	887	8.0	329	077866c3fd1a75f51ca7f8eae166ae32
5	4,000	19.4218558121	-99.1743608192	19.440310600000004	-99.1841465	drop off	3,176	1,028	8.0	73	077866c3fd1a75f51ca7f8eae166ae32
6	0	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
7	6,449	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	drop off	3,008	1,505	10.0	770	077866c3fd1a75f51ca7f8eae166ae32
8	0	19.406537533199998	-99.16970986870001	19.4219595249	-99.1745589674	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
9	8,063	19.438666	-99.1808212	19.4231033325	-99.1748778149	drop off	3,034	958	10.0	1,655	077866c3fd1a75f51ca7f8eae166ae32
10	0	19.421544673499998	-99.1742223501	19.442719	-99.20114	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
11	6,924	19.4215411953	-99.1741707176	19.442719	-99.20114	drop off	5,083	1,253	10.0	729	077866c3fd1a75f51ca7f8eae166ae32
12	4,000	19.4228147	-99.1748655	19.4064378	-99.1752599	drop off	2,766	841	9.0	633	077866c3fd1a75f51ca7f8eae166ae32
13	0	19.4152407	-99.1782118	19.407004418099998	-99.1758300126	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
14	0	19.4220335151	-99.1746652499	19.438666	-99.1808212	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
15	9,404	19.441434215999998	-99.18350312860001	19.439331	-99.20226	drop off	8,254	3,566	10.0	589	077866c3fd1a75f51ca7f8eae166ae32
16	0	19.406537533199998	-99.16970986870001	19.4251508	-99.178225	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
17	5,299	19.4063528563	-99.1752938926	19.4322669	-99.1546509	drop off	5,600	1,073	8.0	477	077866c3fd1a75f51ca7f8eae166ae32
18	4,000	19.4228147	-99.1748655	19.4064378	-99.1752599	drop off	3,187	930	9.0	576	077866c3fd1a75f51ca7f8eae166ae32
19	0	19.4228147	-99.1748655	19.4064378	-99.1752599	rider cancel	0	0	9.0		077866c3fd1a75f51ca7f8eae166ae32
20	0	19.4218652981	-99.17445972559999	19.4405277	-99.1766564	rider cancel	0	0	6.0		077866c3fd1a75f51ca7f8eae166ae32
21	4,000	19.440753523399998	-99.1835775599	19.4228147	-99.1748655	drop off	3,073	1,259	8.0	873	077866c3fd1a75f51ca7f8eae166ae32
22	4,000	19.441409042300002	-99.1841463972	19.4274446	-99.1708184	drop off	2,923	1,485	10.0	205	077866c3fd1a75f51ca7f8eae166ae32
