,_id,category_code,coord,founded_year,latitude,longitude,name,number_of_employees,raised_amount,raised_currency_code,total_money_raised
0,5cd97e7af03f763b4df1a9dc,social,"[-122.151801, 37.41605]",2004,37.41605,-122.151801,Facebook,5299,500000,USD,2430000000
1,5cd97e7af03f763b4df1aafb,advertising,"[-122.154565, 37.407752]",2005,37.407752,-122.154565,Collarity,30,7800000,USD,12200000
2,5cd97e7af03f763b4df1aca4,mobile,"[-122.145153, 37.424614]",2010,37.424614,-122.145153,vufind,7,250000,USD,930000
3,5cd97e7af03f763b4df1ab1c,search,"[-122.144271, 37.425773]",2006,37.425773,-122.144271,GenieTown,8,2000000,USD,2000000
4,5cd97e7af03f763b4df1aa0c,network_hosting,"[-122.143701, 37.425801]",2005,37.425801,-122.143701,Box,950,1500000,USD,409000000
5,5cd97e7af03f763b4df1aa46,web,"[-122.145783, 37.427235]",2005,37.427235,-122.145783,Doostang,10,1000000,USD,5750000
6,5cd97e7af03f763b4df1aa58,mobile,"[-122.143915, 37.42746]",2005,37.42746,-122.143915,SayNow,20,7500000,USD,7500000
7,5cd97e7af03f763b4df1ae0f,search,"[-122.134666, 37.414271]",2006,37.414271,-122.134666,Superfish,50,5300000,USD,19300000
8,5cd97e7af03f763b4df1ad89,analytics,"[-122.143368, 37.4280877]",2008,37.4280877,-122.143368,Silver Tail Systems,90,2100000,USD,22100000
9,5cd97e7af03f763b4df1ab55,security,"[-122.1345417, 37.399481]",2002,37.399481,-122.1345417,Voltage Security,120,12000000,USD,27000000
10,5cd97e7af03f763b4df1ab61,games_video,"[-122.159928, 37.437328]",2007,37.437328,-122.159928,MyMiniLife,4,10000,USD,430000
11,5cd97e7af03f763b4df1aca0,games_video,"[-122.159928, 37.437328]",2008,37.437328,-122.159928,Snipd,2,15000,USD,15000
12,5cd97e7af03f763b4df1aa05,web,"[-122.159928, 37.437328]",2006,37.437328,-122.159928,Terabitz,12,10000000,USD,10000000
