,Point,_id,category_code,city,country_code,founded_year,latitude,longitude,name,number_of_employees,numero_compañias_cerca
1,"{'type': 'Point', 'coordinates': [-122.393229, 37.781265]}",5cd5a7372cda8341777639e7,games_video,San Francisco,USA,2008,37.781265,-122.393229,Crunchyroll,50,27
5,"{'type': 'Point', 'coordinates': [-122.404488, 37.790032]}",5cd5a7372cda8341777639eb,web,San Francisco,USA,2008,37.790032,-122.404488,Unknown Vector,7,26
13,"{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}",5cd5a7372cda8341777639f3,software,San Francisco,USA,2008,37.782263,-122.392142,GoingOn,40,27
19,"{'type': 'Point', 'coordinates': [-122.4042586, 37.80391]}",5cd5a7372cda8341777639f9,web,San Francisco,USA,2008,37.80391,-122.4042586,ReadBurner,4,19
29,"{'type': 'Point', 'coordinates': [-73.992706, 40.755409]}",5cd5a7372cda834177763a03,web,New York City,USA,2008,40.755409,-73.992706,Wakozi,5,26
31,"{'type': 'Point', 'coordinates': [-122.155678, 37.446382]}",5cd5a7372cda834177763a05,web,Palo Alto,USA,2008,37.446382,-122.155678,Noovo,8,16
33,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",5cd5a7372cda834177763a07,games_video,San Francisco,USA,2008,37.775196,-122.419204,stickychicken,2,27
39,"{'type': 'Point', 'coordinates': [-122.3998782, 37.7896292]}",5cd5a7372cda834177763a0d,software,San Francisco,USA,2009,37.7896292,-122.3998782,Macroaxis,8,25
44,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",5cd5a7372cda834177763a12,games_video,San Francisco,USA,2008,37.7893215,-122.4013624,Serious Business,22,25
49,"{'type': 'Point', 'coordinates': [-122.401537, 37.773727]}",5cd5a7372cda834177763a17,web,San Francisco,USA,2008,37.773727,-122.401537,RemindBlast,5,27
53,"{'type': 'Point', 'coordinates': [-122.164925, 37.446662]}",5cd5a7372cda834177763a1b,web,Palo Alto,USA,2008,37.446662,-122.164925,Weardrobe,2,16
70,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",5cd5a7372cda834177763a2c,software,New York,USA,2008,40.757929,-73.985506,Pinch Media,6,25
94,"{'type': 'Point', 'coordinates': [-122.1612868, 37.4440981]}",5cd5a7372cda834177763a44,web,Palo Alto,USA,2011,37.4440981,-122.1612868,Ziippi,6,16
104,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",5cd5a7372cda834177763a4e,web,San Francisco,USA,2008,37.775196,-122.419204,Posterous,9,27
111,"{'type': 'Point', 'coordinates': [-122.420903, 37.796164]}",5cd5a7372cda834177763a55,web,San Francisco,USA,2008,37.796164,-122.420903,EcoFlip,5,27
114,"{'type': 'Point', 'coordinates': [-73.980587, 40.724289]}",5cd5a7372cda834177763a58,games_video,New York,USA,2008,40.724289,-73.980587,GigMaven,8,19
116,"{'type': 'Point', 'coordinates': [-122.396744, 37.780134]}",5cd5a7372cda834177763a5a,games_video,San Francisco,USA,2008,37.780134,-122.396744,Scavenja,8,28
121,"{'type': 'Point', 'coordinates': [-122.398379, 37.758352]}",5cd5a7372cda834177763a5f,web,San Francisco,USA,2008,37.758352,-122.398379,Open Places,3,17
128,"{'type': 'Point', 'coordinates': [-122.39736, 37.794043]}",5cd5a7372cda834177763a66,software,Palo Alto,USA,2008,37.794043,-122.39736,OpenDrive,25,24
142,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",5cd5a7372cda834177763a74,web,San Francisco,USA,2008,37.775196,-122.419204,Zorap,2,27
143,"{'type': 'Point', 'coordinates': [-122.1490582, 37.4459832]}",5cd5a7372cda834177763a75,web,Palo Alto,USA,2008,37.4459832,-122.1490582,RankBoom,2,16
148,"{'type': 'Point', 'coordinates': [-73.990024, 40.739867]}",5cd5a7372cda834177763a7a,web,New York,USA,2008,40.739867,-73.990024,YellowSpaces,1,26
155,"{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}",5cd5a7372cda834177763a81,games_video,Palo Alto,USA,2008,37.437328,-122.159928,Snipd,2,16
170,"{'type': 'Point', 'coordinates': [-122.403223, 37.794124]}",5cd5a7372cda834177763a90,web,San Francisco,USA,2008,37.794124,-122.403223,Twonq,3,25
172,"{'type': 'Point', 'coordinates': [-122.158497, 37.448598]}",5cd5a7372cda834177763a92,games_video,Palo Alto,USA,2008,37.448598,-122.158497,Bojam,5,16
