,name,last_raised_amount_MnUSD,total_raised_MnUSD,round_average_MnUSD,rounds
2,Geni,5.0,16.5,5.5,3.0
5,MeetMoi,2.6,5.6,1.9,3.0
12,Twitter,400.0,760.2,108.6,7.0
24,Facebook,1500.0,2325.7,232.6,10.0
28,Plaxo,9.0,28.3,7.1,4.0
29,eBay,6.7,6.7,6.7,1.0
31,Mahalo,16.0,21.0,10.5,2.0
35,Kyte,0.0,23.3,5.8,4.0
39,Meetup,4.5,18.3,4.6,4.0
41,Yahoo!,4.8,6.8,3.4,2.0
44,Livestream,10.0,12.7,4.2,3.0
49,AdaptiveBlue,12.0,24.0,6.0,4.0
51,Pando Networks,7.0,11.0,5.5,2.0
52,CriticalMetrics,0.1,0.1,0.1,1.0
53,Pownce,0.0,0.0,0.0,
56,SodaHead,0.0,12.6,4.2,3.0
57,Wakoopa,1.0,1.0,1.0,1.0
61,SideStep,6.8,32.0,8.0,4.0
62,Pageflakes,1.3,1.3,1.3,1.0
72,RockYou,1.2,136.5,15.2,9.0
73,Flickr,0.0,0.0,0.0,
74,Newsvine,1.2,1.2,1.2,1.0
75,Terabitz,10.0,10.0,10.0,1.0
78,iLike,0.7,16.5,5.5,3.0
86,LinkedIn,12.1,200.0,25.0,8.0
93,Eventbrite,60.0,139.5,19.9,7.0
98,Seesmic,4.0,16.0,5.3,3.0
101,Zvents,24.0,31.2,10.4,3.0
105,oDesk,15.0,44.0,11.0,4.0
108,GoingOn,6.2,8.6,2.9,3.0
111,Flixster,0.2,7.2,2.4,3.0
112,Parakey,0.0,0.0,0.0,
119,spigit,7.2,47.6,7.9,6.0
124,Bazaarvoice,103.9,130.5,26.1,5.0
128,hi5,14.0,34.0,17.0,2.0
133,PowerReviews,1.1,37.2,7.4,5.0
139,Tagged,15.0,23.7,5.9,4.0
140,introNetworks,2.7,2.7,2.7,1.0
142,Respectance,1.5,1.7,0.8,2.0
148,Grockit,20.0,44.7,7.4,6.0
151,Vuze,2.0,34.0,11.3,3.0
158,PayScale,7.0,30.9,4.4,7.0
161,IntenseDebate,0.5,0.5,0.2,2.0
165,BuddyTV,1.5,10.5,2.6,4.0
167,Buxfer,0.3,0.3,0.2,1.0
171,IMVU,9.0,29.0,7.2,4.0
174,Aniboom,10.0,14.5,7.2,2.0
179,Flock,15.0,28.3,5.7,5.0
182,Weebly,0.0,0.6,0.2,3.0
186,Kongregate,10.0,19.0,4.8,4.0
189,BitTorrent,7.0,40.8,13.6,3.0
192,Filtrbox,1.4,1.9,0.6,3.0
195,Doostang,1.2,5.7,1.9,3.0
197,Docstoc,3.2,4.0,2.0,2.0
202,Friendster,3.1,48.5,9.7,5.0
205,OpenTable,36.0,48.0,16.0,3.0
208,MocoSpace,4.0,10.5,3.5,3.0
209,YouBeQB,0.0,0.0,0.0,
210,Tutor,13.5,13.5,13.5,1.0
212,EyeJot,0.4,1.2,0.6,2.0
214,Crunchyroll,0.8,4.8,2.4,2.0
215,Behance,6.5,6.5,6.5,1.0
216,Yugma,0.0,0.0,0.0,
218,hulu,0.0,100.0,50.0,2.0
221,Mixx,2.0,3.5,1.2,3.0
222,HylioSoft,0.0,0.0,0.0,
223,YourStreet,0.2,0.2,0.2,1.0
226,app2you,0.0,0.0,0.0,
228,FlowPlay,3.7,3.8,1.9,2.0
230,Feedjit,0.4,0.4,0.4,1.0
231,Viewpoints,5.0,5.0,5.0,1.0
234,UpDown,1.0,1.8,0.6,3.0
237,mig33,8.9,32.4,10.8,3.0
239,GamerDNA,3.0,3.0,1.5,2.0
240,Realius,0.5,0.5,0.5,1.0
243,Metaplace,1.2,9.4,3.1,3.0
246,Spoke,9.2,25.1,8.4,3.0
248,Fixya,6.0,8.0,4.0,2.0
250,Mozilla,0.3,2.3,1.2,2.0
251,GroupSwim,0.0,0.0,0.0,
252,Jiglu,0.8,0.8,0.8,1.0
255,SueEasy,0.1,0.1,0.0,inf
256,Rupture,3.0,3.0,3.0,1.0
259,JibJab,7.5,17.9,6.0,3.0
261,Whiskey Media,1.5,4.0,2.0,2.0
264,Polyvore,14.0,22.1,7.4,3.0
266,Automattic,29.5,30.6,15.3,2.0
267,Veodia,8.3,8.3,8.3,1.0
269,EchoSign,6.0,8.5,4.2,2.0
272,Skinkers,1.5,21.0,7.0,3.0
275,Baynote,13.0,27.8,9.3,3.0
276,SezWho,1.0,1.0,1.0,1.0
279,Disqus,10.0,10.5,3.5,3.0
280,DraftMix,0.0,0.0,0.0,
281,FilmCrave,0.0,0.0,0.0,
283,Plazes,0.9,3.3,1.6,2.0
284,GotCast,0.0,0.0,0.0,
286,Yedda,1.9,2.5,1.2,2.0
292,RepairPal,1.0,21.4,3.6,6.0
294,StreetFire,1.8,7.9,4.0,2.0
295,Dipity,0.9,0.9,0.9,1.0
