,name,founded_year,category_code,number_of_employees,rounds,total_raised_MnUSD,round_average_MnUSD,"type: 1: startup, 2: small/mid corp, 3:big corp",latitude,longitude,geojson,near_companies,employees,ratio,investments,ratio_distance
0,Twitter,2006,social,1300,7.0,760.2,108.6,3,37.7768052,-122.4169244,"{'type': 'Point', 'coordinates': [-122.4169244, 37.7768052]}",68,4969,1.9411764705882353,37.1,0.05882352941176472
1,Tagged,2004,social,162,4.0,23.7,5.9,2,37.7753,-122.4186,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",66,4949,1.9393939393939394,37.1,0.06060606060606055
2,GuardianEdge Technologies,2002,software,85,2.0,16.0,8.0,2,37.778613,-122.395289,"{'type': 'Point', 'coordinates': [-122.395289, 37.778613]}",66,4956,1.9393939393939394,37.1,0.06060606060606055
3,GitHub,2008,software,106,1.0,100.0,100.0,3,37.775196,-122.419204,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",66,4949,1.9393939393939394,37.1,0.06060606060606055
4,Three Rings,2001,web,30,2.0,7.0,3.5,2,37.775196,-122.419204,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",66,4949,1.9393939393939394,37.1,0.06060606060606055
5,Infectious,2007,web,4,1.0,0.8,0.8,2,37.771927,-122.410217,"{'type': 'Point', 'coordinates': [-122.410217, 37.771927]}",67,4955,1.9402985074626866,37.1,0.05970149253731338
6,Splunk,2003,software,500,3.0,40.0,13.3,2,37.78274,-122.390945,"{'type': 'Point', 'coordinates': [-122.390945, 37.78274]}",63,4897,1.9365079365079365,37.1,0.06349206349206349
7,Virgance,2008,web,15,1.0,0.8,0.8,1,37.781262,-122.394958,"{'type': 'Point', 'coordinates': [-122.394958, 37.781262]}",65,4936,1.9384615384615385,37.1,0.06153846153846154
8,Dipity,2007,web,4,1.0,0.9,0.9,2,37.781262,-122.394958,"{'type': 'Point', 'coordinates': [-122.394958, 37.781262]}",65,4936,1.9384615384615385,37.1,0.06153846153846154
9,GroupSwim,2005,software,9,,0.0,0.0,2,37.779558,-122.393041,"{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}",63,4897,1.9365079365079365,37.1,0.06349206349206349
10,Posterous,2008,web,9,4.0,10.1,2.5,1,37.775196,-122.419204,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",66,4949,1.9393939393939394,37.1,0.06060606060606055
11,GotGame,2006,games_video,15,2.0,1.0,0.5,2,37.77772,-122.395785,"{'type': 'Point', 'coordinates': [-122.395785, 37.77772]}",67,4941,1.9402985074626866,37.1,0.05970149253731338
12,Grockit,2006,social,25,6.0,44.7,7.4,2,37.775196,-122.419204,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",66,4949,1.9393939393939394,37.1,0.06060606060606055
13,Crunchyroll,2008,games_video,50,2.0,4.8,2.4,1,37.781265,-122.393229,"{'type': 'Point', 'coordinates': [-122.393229, 37.781265]}",65,4936,1.9384615384615385,37.1,0.06153846153846154
14,Clickpass,2007,web,90,,0.0,0.0,2,37.775196,-122.419204,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",66,4949,1.9393939393939394,37.1,0.06060606060606055
15,Reframe It,2007,web,10,3.0,3.2,1.1,2,37.782163,-122.400591,"{'type': 'Point', 'coordinates': [-122.400591, 37.782163]}",66,4956,1.9393939393939394,37.1,0.06060606060606055
16,Eventbrite,2006,web,200,7.0,139.5,19.9,3,37.779507,-122.39071,"{'type': 'Point', 'coordinates': [-122.39071, 37.779507]}",62,4891,1.935483870967742,37.1,0.06451612903225801
17,Seesmic,2007,web,13,3.0,16.0,5.3,2,37.775196,-122.419204,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",66,4949,1.9393939393939394,37.1,0.06060606060606055
18,ngmoco,2008,games_video,150,4.0,44.8,11.2,2,37.7705096,-122.4015807,"{'type': 'Point', 'coordinates': [-122.4015807, 37.7705096]}",63,4898,1.9365079365079365,37.1,0.06349206349206349
19,GoingOn,2008,software,40,3.0,8.6,2.9,1,37.782263,-122.392142,"{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}",65,4936,1.9384615384615385,37.1,0.06153846153846154
20,TerraPass,2004,web,7,1.0,5.8,5.8,2,37.787445,-122.397847,"{'type': 'Point', 'coordinates': [-122.397847, 37.787445]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
21,Double Fusion,2004,web,80,4.0,59.0,14.8,2,37.7887135,-122.3927145,"{'type': 'Point', 'coordinates': [-122.3927145, 37.7887135]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
22,FohBoh,2007,social,4,2.0,1.6,0.8,2,37.7924253,-122.4010019,"{'type': 'Point', 'coordinates': [-122.4010019, 37.7924253]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
23,Clikthrough,2007,software,5,2.0,2.0,1.0,2,37.7965781,-122.4022856,"{'type': 'Point', 'coordinates': [-122.4022856, 37.7965781]}",60,4806,1.95,36.0,0.050000000000000044
24,Circle of Moms,2008,web,9,,0.0,0.0,2,37.7890183,-122.3915063,"{'type': 'Point', 'coordinates': [-122.3915063, 37.7890183]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
25,FohBoh,2007,social,4,2.0,1.6,0.8,2,37.7924253,-122.4010019,"{'type': 'Point', 'coordinates': [-122.4010019, 37.7924253]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
26,Lyft,2007,software,180,10.0,165.0,16.5,3,37.7899027,-122.4007846,"{'type': 'Point', 'coordinates': [-122.4007846, 37.7899027]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
27,Serious Business,2008,games_video,22,1.0,4.0,4.0,1,37.7893215,-122.4013624,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
28,Yoono,2006,web,10,2.0,5.4,2.7,2,37.787204,-122.397884,"{'type': 'Point', 'coordinates': [-122.397884, 37.787204]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
29,Tivix,2008,software,18,,0.0,0.0,2,37.792303,-122.423132,"{'type': 'Point', 'coordinates': [-122.423132, 37.792303]}",59,4002,1.9322033898305084,36.0,0.06779661016949157
30,Huddler,2007,web,52,3.0,22.8,7.6,2,37.7893215,-122.4013624,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
