,_id,category_code,founded_year,geo,latitude,longitude,name,number_of_employees,raised_amount,raised_currency_code,total_money_raised,numero_compañias_cerca
0,5cd590c53c474a367c3cc350,software,2008,"{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}",37.782263,-122.392142,GoingOn,40.0,950000.0,USD,$8.5M,38
3,5cd590c53c474a367c3cc353,games_video,2008,"{'type': 'Point', 'coordinates': [-122.393229, 37.781265]}",37.781265,-122.393229,Crunchyroll,50.0,4050000.0,USD,$4.8M,38
7,5cd590c53c474a367c3cc357,web,2008,"{'type': 'Point', 'coordinates': [-73.985433, 40.740231]}",40.740231,-73.985433,BeliefNet,,7000000.0,USD,$7M,38
13,5cd590c53c474a367c3cc35d,web,2008,"{'type': 'Point', 'coordinates': [-122.404488, 37.790032]}",37.790032,-122.404488,Unknown Vector,7.0,,,$0,38
23,5cd590c53c474a367c3cc367,web,2008,"{'type': 'Point', 'coordinates': [-73.985281, 40.723652]}",40.723652,-73.985281,Kluster,,1000000.0,USD,$1M,31
26,5cd590c53c474a367c3cc36a,web,2008,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,Totspot,,,,$0,35
27,5cd590c53c474a367c3cc36b,web,2008,"{'type': 'Point', 'coordinates': [-122.4025016, 37.7809512]}",37.7809512,-122.4025016,Heavy Electrons,,,,$0,38
37,5cd590c53c474a367c3cc375,web,2008,"{'type': 'Point', 'coordinates': [-122.4042586, 37.80391]}",37.80391,-122.4042586,ReadBurner,4.0,,,$0,29
50,5cd590c53c474a367c3cc382,games_video,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,stickychicken,2.0,,,$0,35
69,5cd590c53c474a367c3cc395,software,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,GitHub,106.0,100000000.0,USD,$100M,35
76,5cd590c53c474a367c3cc39c,software,2009,"{'type': 'Point', 'coordinates': [-122.3998782, 37.7896292]}",37.7896292,-122.3998782,Macroaxis,8.0,,,$0,37
82,5cd590c53c474a367c3cc3a2,games_video,2008,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",37.7893215,-122.4013624,Serious Business,22.0,4000000.0,USD,$4M,37
88,5cd590c53c474a367c3cc3a8,web,2008,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,Kidmondo,,,,$0,35
95,5cd590c53c474a367c3cc3af,web,2008,"{'type': 'Point', 'coordinates': [-73.993274, 40.743563]}",40.743563,-73.993274,Subway Crush,,,,$0,38
121,5cd590c53c474a367c3cc3c9,software,2008,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,Pinch Media,6.0,,,$560k,35
156,5cd590c53c474a367c3cc3ec,web,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Posterous,9.0,15000.0,USD,$10.1M,35
157,5cd590c53c474a367c3cc3ed,software,2008,"{'type': 'Point', 'coordinates': [-73.978887, 40.751293]}",40.751293,-73.978887,Pluribo,,,,$0,38
171,5cd590c53c474a367c3cc3fb,web,2008,"{'type': 'Point', 'coordinates': [-74.00721, 40.74034]}",40.74034,-74.00721,Bitly,,2000000.0,USD,$31.4M,38
172,5cd590c53c474a367c3cc3fc,web,2008,"{'type': 'Point', 'coordinates': [-122.420903, 37.796164]}",37.796164,-122.420903,EcoFlip,5.0,,,$0,38
173,5cd590c53c474a367c3cc3fd,games_video,2008,"{'type': 'Point', 'coordinates': [-73.980587, 40.724289]}",40.724289,-73.980587,GigMaven,8.0,,,$0,30
